20,445550.6,400137271,6665952,10000000,0.6665952,p12,mean delay,seed
764.8,9.44,400137271,1403140,10000000,0.140314,0.37,11.68,400137271
784.4,8.01,400137271,1031930,10000000,0.103193,0.38,9.44,400137271
804,7.04,400137271,755952,10000000,0.0755952,0.39,8.01,400137271
823.6,6.33,400137271,551079,10000000,0.0551079,0.4,7.04,400137271
843.2,5.82,400137271,403563,10000000,0.0403563,0.41,6.33,400137271
862.8,5.43,400137271,294272,10000000,0.0294272,0.42,5.82,400137271
882.4,5.13,400137271,216980,10000000,0.021698,0.43,5.43,400137271
902,4.91,400137271,161827,10000000,0.0161827,0.44,5.13,400137271
921.6,4.74,400137271,121570,10000000,0.012157,0.45,4.91,400137271
941.2,4.62,400137271,95342,10000000,0.0095342,0.46,4.74,400137271
960.8,4.53,400137271,77423,10000000,0.0077423,0.47,4.62,400137271
980.4,4.49,400137271,68042,10000000,0.0068042,0.48,4.53,400137271
1000,4.47,400137271,65526,10000000,0.0065526,0.49,4.49,400137271
1019.6,4.49,400137271,69424,10000000,0.0069424,0.5,4.47,400137271
1039.2,4.54,400137271,79447,10000000,0.0079447,0.51,4.49,400137271
1058.8,4.63,400137271,98036,10000000,0.0098036,0.52,4.54,400137271
1078.4,4.76,400137271,126010,10000000,0.012601,0.53,4.63,400137271
1098,4.93,400137271,166486,10000000,0.0166486,0.54,4.76,400137271
1117.6,5.15,400137271,222887,10000000,0.0222887,0.55,4.93,400137271
1137.2,5.44,400137271,302003,10000000,0.0302003,0.56,5.15,400137271
1156.8,5.82,400137271,410081,10000000,0.0410081,0.57,5.44,400137271
1176.4,6.33,400137271,555119,10000000,0.0555119,0.58,5.82,400137271
1196,7.02,400137271,759501,10000000,0.0759501,0.59,6.33,400137271
1215.6,7.99,400137271,1037935,10000000,0.1037935,0.6,7.02,400137271
1235.2,9.4,400137271,1409831,10000000,0.1409831,0.61,7.99,400137271
1254.8,11.59,400137271,1919198,10000000,0.1919198,0.62,9.4,400137271
1274.4,15.3,400137271,2608419,10000000,0.2608419,0.63,11.59,400137271
1294,23.94,400137271,3506654,10000000,0.3506654,0.64,15.3,400137271
1313.6,56.62,400137271,4700127,10000000,0.4700127,0.65,23.94,400137271
1333.2,4881.44,400137271,5715256,10000000,0.5715256,0.66,56.62,400137271
1352.8,17143.51,400137271,5745335,10000000,0.5745335,0.67,4881.44,400137271
1372.4,29403.48,400137271,5770556,10000000,0.5770556,0.68,17143.51,400137271
1392,41845.53,400137271,5796053,10000000,0.5796053,0.69,29403.48,400137271
1411.6,54256.09,400137271,5821725,10000000,0.5821725,0.7,41845.53,400137271
1431.2,66633.05,400137271,5847173,10000000,0.5847173,0.71,54256.09,400137271
1450.8,79226.08,400137271,5873019,10000000,0.5873019,0.72,66633.05,400137271
1470.4,91723.92,400137271,5898948,10000000,0.5898948,0.73,79226.08,400137271
1490,104331.89,400137271,5925212,10000000,0.5925212,0.74,91723.92,400137271
1509.6,116949.06,400137271,5951747,10000000,0.5951747,0.75,104331.89,400137271
1529.2,129579.37,400137271,5978506,10000000,0.5978506,0.76,116949.06,400137271
1548.8,142466.83,400137271,6005621,10000000,0.6005621,0.77,129579.37,400137271
1568.4,155137.24,400137271,6032698,10000000,0.6032698,0.78,142466.83,400137271
1588,168044.83,400137271,6060259,10000000,0.6060259,0.79,155137.24,400137271
1607.6,180986.19,400137271,6087850,10000000,0.608785,0.8,168044.83,400137271
1627.2,193950.23,400137271,6115715,10000000,0.6115715,0.81,180986.19,400137271
1646.8,206887.06,400137271,6143667,10000000,0.6143667,0.82,193950.23,400137271
1666.4,220094.05,400137271,6172249,10000000,0.6172249,0.83,206887.06,400137271
1686,233222.74,400137271,6200736,10000000,0.6200736,0.84,220094.05,400137271
1705.6,246630.58,400137271,6229835,10000000,0.6229835,0.85,233222.74,400137271
1725.2,260053.43,400137271,6258951,10000000,0.6258951,0.86,246630.58,400137271
1744.8,273624.66,400137271,6288530,10000000,0.628853,0.87,260053.43,400137271
1764.4,287409.09,400137271,6318775,10000000,0.6318775,0.88,273624.66,400137271
1784,301272.62,400137271,6349035,10000000,0.6349035,0.89,287409.09,400137271
1803.6,315083.96,400137271,6379298,10000000,0.6379298,0.9,301272.62,400137271
1823.2,329133.01,400137271,6410145,10000000,0.6410145,0.91,315083.96,400137271
1842.8,343366.94,400137271,6441381,10000000,0.6441381,0.92,329133.01,400137271
1862.4,357563.08,400137271,6472441,10000000,0.6472441,0.93,343366.94,400137271
1882,371935.93,400137271,6504199,10000000,0.6504199,0.94,357563.08,400137271
1901.6,386441.47,400137271,6535973,10000000,0.6535973,0.95,371935.93,400137271
1921.2,400849.13,400137271,6567665,10000000,0.6567665,0.96,386441.47,400137271
1940.8,415648.46,400137271,6600283,10000000,0.6600283,0.97,400849.13,400137271
1960.4,430522.65,400137271,6633165,10000000,0.6633165,0.98,415648.46,400137271
1980,445724.51,400137271,6666710,10000000,0.666671,0.99,430522.65,400137271
,,,,,,1,445724.51,400137271
