data->arrival_rate,1e3 * data->accumulated_delay / data->number_of_packets_processed,data->random_seed,data->delay_exceeds_20p_counter,data->number_of_packets_processed,(double)data->delay_exceeds_20p_counter / data->number_of_packets_processed,(double)data->p12,1e3 * (double)data->switch1->accumulated_delay_data / data->switch1->number_of_packets_processed_data,1e3 * (double)data->switch1->accumulated_delay_voice / data->switch1->number_of_packets_processed_voice,(double)data->switch1->accumulated_delay_data,data->switch1->number_of_packets_processed_data,(double)data->switch1->accumulated_delay_voice,data->switch1->number_of_packets_processed_voice,,,,
16.139,58.33,400137271,16468701,30000000,0.5489567,0.62,146.3260039,29.9219784,1071216.971,7320756,678607.8489,22679244,,16.139,146.3260039,29.9219784
16.3985,60.53,400137271,16706020,30000000,0.5568673,0.63,152.4611729,30.3830956,1129679.814,7409623,686365.5835,22590377,,16.3985,152.4611729,30.3830956
16.658,62.89,400137271,16945303,30000000,0.5648434,0.64,159.0663053,30.8405189,1192615.212,7497598,693985.7534,22502402,,16.658,159.0663053,30.8405189
16.9175,65.4,400137271,17180887,30000000,0.5726962,0.65,166.1982722,31.3006776,1260527.305,7584479,701620.9971,22415521,,16.9175,166.1982722,31.3006776
17.177,68.15,400137271,17417577,30000000,0.5805859,0.66,174.0576262,31.7627159,1335269.329,7671421,709216.3109,22328579,,17.177,174.0576262,31.7627159
17.4365,71.11,400137271,17653455,30000000,0.5884485,0.67,182.6433976,32.216708,1416842.459,7757425,716582.5443,22242575,,17.4365,182.6433976,32.216708
17.696,74.35,400137271,17889615,30000000,0.5963205,0.68,192.0990302,32.6778547,1506526.271,7842446,724061.3304,22157554,,17.696,192.0990302,32.6778547
17.9555,77.93,400137271,18125628,30000000,0.6041876,0.69,202.6565963,33.1394408,1606448.909,7926951,731488.5015,22073049,,17.9555,202.6565963,33.1394408
18.215,81.89,400137271,18359584,30000000,0.6119861,0.7,214.4391057,33.598426,1717858.809,8010940,738797.8051,21989060,,18.215,214.4391057,33.598426
18.4745,86.29,400137271,18593647,30000000,0.6197882,0.71,227.6341462,34.0591397,1842569.345,8094433,746084.7671,21905567,,18.4745,227.6341462,34.0591397
18.734,91.21,400137271,18829756,30000000,0.6276585,0.72,242.4781907,34.5222632,1982827.093,8177342,753367.5423,21822658,,18.734,242.4781907,34.5222632
18.9935,96.75,400137271,19065253,30000000,0.6355084,0.73,259.3248485,34.9848114,2141923.408,8259615,760583.2698,21740385,,18.9935,259.3248485,34.9848114
19.253,103.08,400137271,19298745,30000000,0.6432915,0.74,278.6987277,35.4435819,2324708.861,8341297,767662.0132,21658703,,19.253,278.6987277,35.4435819
19.5125,110.42,400137271,19531590,30000000,0.651053,0.75,301.3219239,35.9092588,2537854.375,8422402,774835.5506,21577598,,19.5125,301.3219239,35.9092588
19.772,118.95,400137271,19765435,30000000,0.6588478,0.76,327.7508794,36.3658387,2786718.895,8502552,781772.7273,21497448,,19.772,327.7508794,36.3658387
20.0315,129.02,400137271,19996686,30000000,0.6665562,0.77,359.097386,36.8236841,3081858.155,8582235,788681.0135,21417765,,20.0315,359.097386,36.8236841
20.291,141.3,400137271,20233061,30000000,0.6744354,0.78,397.5224137,37.2871268,3443207.17,8661668,795645.0915,21338332,,20.291,397.5224137,37.2871268
20.5505,156.28,400137271,20465594,30000000,0.6821865,0.79,444.5817868,37.752864,3885856.882,8740477,802607.8797,21259523,,20.5505,444.5817868,37.752864
20.81,175.28,400137271,20698718,30000000,0.6899573,0.8,504.4912717,38.2172251,4448832.064,8818452,809499.9887,21181548,,20.81,504.4912717,38.2172251
21.0695,199.82,400137271,20929811,30000000,0.6976604,0.81,582.1122033,38.6763168,5178247.212,8895617,816239.8028,21104383,,21.0695,582.1122033,38.6763168
21.329,234.08,400137271,21163090,30000000,0.7054363,0.82,690.9487332,39.1438203,6199421.429,8972332,823103.2567,21027668,,21.329,690.9487332,39.1438203
21.5885,282.16,400137271,21393656,30000000,0.7131219,0.83,843.7830371,39.6013247,7634980.092,9048511,829706.7181,20951489,,21.5885,843.7830371,39.6013247
21.848,356.29,400137271,21624818,30000000,0.7208273,0.84,1079.826524,40.0676262,9852221.66,9123893,836456.0511,20876107,,21.848,1079.826524,40.0676262
22.1075,483.27,400137271,21855396,30000000,0.7285132,0.85,1484.380864,40.528861,13655000.66,9199122,843035.8941,20800878,,22.1075,1484.380864,40.528861
22.367,752.27,400137271,22086255,30000000,0.7362085,0.86,2341.935546,40.9909593,21718588,9273777,849587.7638,20726223,,22.367,2341.935546,40.9909593
22.6265,2073.99,400137271,22316799,30000000,0.7438933,0.87,6564.654146,41.4544495,61363715.14,9347593,856134.163,20652407,,22.6265,6564.654146,41.4544495
22.886,295529.94,400137271,22456499,30000000,0.74855,0.88,943883.3161,41.7361563,8865037998,9392091,860094.9107,20607909,,22.886,943883.3161,41.7361563
23.1455,1015649.8,400137271,22456547,30000000,0.7485516,0.89,3244073.541,41.7348035,30468633905,9392091,860067.0317,20607909,,23.1455,3244073.541,41.7348035
23.405,1719802.37,400137271,22456226,30000000,0.7485409,0.9,5493260.821,41.7333403,51593211008,9392092,860036.8365,20607908,,23.405,5493260.821,41.7333403
23.6645,2408511.8,400137271,22455979,30000000,0.7485326,0.91,7693119.512,41.7373287,72254493913,9392093,860118.9882,20607907,,23.6645,7693119.512,41.7373287
23.924,3082280.86,400137271,22455980,30000000,0.7485327,0.92,9845255.554,41.7387553,92467565617,9392094,860148.3463,20607906,,23.924,9845255.554,41.7387553
24.1835,3741590.85,400137271,22457383,30000000,0.7485794,0.93,11951206.36,41.732884,1.12247E+11,9392095,860027.3096,20607905,,24.1835,11951206.36,41.732884
24.443,4386901.5,400137271,22455984,30000000,0.7485328,0.94,14012440.33,41.7373346,1.31606E+11,9392096,860118.9855,20607904,,24.443,14012440.33,41.7373346
24.7025,5018654.83,400137271,22456800,30000000,0.74856,0.95,16030369.45,41.7339345,1.50559E+11,9392097,860048.8731,20607903,,24.7025,16030369.45,41.7339345
24.962,5637272.22,400137271,22456041,30000000,0.7485347,0.96,18006341.57,41.7348238,1.69117E+11,9392097,860067.2002,20607903,,24.962,18006341.57,41.7348238
25.2215,6243162.49,400137271,22457167,30000000,0.7485722,0.97,19941658.89,41.7328599,1.87294E+11,9392098,860026.6864,20607902,,25.2215,19941658.89,41.7328599
25.481,6836713.77,400137271,22457172,30000000,0.7485724,0.98,21837562.95,41.732865,2.05101E+11,9392099,860026.7505,20607901,,25.481,21837562.95,41.732865
25.7405,7418296.08,400137271,22457445,30000000,0.7485815,0.99,23695238.12,41.7328878,2.22548E+11,9392099,860027.2204,20607901,,25.7405,23695238.12,41.7328878
26,7988269.17,400137271,22456768,30000000,0.7485589,1,25515831.46,41.7310881,2.39647E+11,9392099,859990.1321,20607901,,26,25515831.46,41.7310881
