Seed,Arrival Rate,"(0.50,1)","(5.25,1)","(10.00,1)","(0.50,5)","(5.25,5)","(10.00,5)","(0.50,9)","(5.25,9)","(10.00,9)","(0.50,13)","(5.25,13)","(10.00,13)"
400137271,8.628571429,0.458172213,4.640787905,8.842739097,0.330891399,2.286905762,4.236473946,0.250673212,0.926070452,1.281323801,0.197593329,0.470406934,0.53661704
400137271,8.831632653,0.458714561,4.655199897,8.869367621,0.332491697,2.351145645,4.350554404,0.253205579,0.962404738,1.325748226,0.200049477,0.482063019,0.562462898
400137271,9.034693878,0.459240759,4.667704555,8.893631573,0.333559955,2.40168081,4.481057533,0.253450948,0.991613876,1.396988008,0.201264119,0.496249728,0.570713299
400137271,9.237755102,0.459622152,4.682294259,8.918356843,0.335231402,2.452061211,4.589474569,0.254703836,1.022229696,1.455845712,0.201675352,0.513208615,0.59637826
400137271,9.440816327,0.459849584,4.695989087,8.942371953,0.336386024,2.504618481,4.703882464,0.2553543,1.055411789,1.532896229,0.202357209,0.524661421,0.611997226
400137271,9.643877551,0.460589419,4.706369723,8.964551192,0.33792335,2.564829188,4.826558613,0.257513732,1.083933166,1.603912969,0.202889529,0.532337562,0.623011557
400137271,9.846938776,0.461146988,4.716440461,8.986068669,0.338894455,2.615018818,4.926898577,0.257782504,1.124362016,1.686592079,0.20395575,0.547586045,0.652658692
400137271,10.05,0.461526287,4.726153106,9.006799015,0.339971127,2.660247099,5.020023915,0.259604572,1.156839007,1.760937268,0.205791235,0.557432967,0.669790371
400137271,10.25306122,0.461680574,4.739859718,9.02683855,0.341089715,2.712499119,5.132377687,0.260484311,1.189715903,1.849849121,0.205039729,0.579774026,0.703411312
400137271,10.45612245,0.462431579,4.748014124,9.046525333,0.342079949,2.757302412,5.21107408,0.262519839,1.228725917,1.925942568,0.207029738,0.589566555,0.725325706
400137271,10.65918367,0.462558468,4.758615198,9.065455478,0.343686153,2.798183843,5.30821864,0.263441583,1.268278133,2.015983448,0.208827874,0.610835167,0.748298204
400137271,10.8622449,0.463085025,4.768666825,9.083504714,0.344594559,2.842061779,5.413184491,0.264649726,1.301645355,2.118670181,0.20936032,0.628740091,0.778003606
400137271,11.06530612,0.463622942,4.777480746,9.099554915,0.345526884,2.890886797,5.489481886,0.264958947,1.341450126,2.194437496,0.210848603,0.639979722,0.796460091
400137271,11.26836735,0.464037925,4.785736292,9.115126625,0.346997719,2.927711396,5.564445737,0.266671361,1.378216768,2.300062778,0.212031632,0.662682864,0.837285857
400137271,11.47142857,0.464093776,4.794044382,9.13105993,0.348421201,2.965949812,5.645718565,0.267713785,1.418557334,2.3862329,0.212753469,0.672958152,0.86777343
400137271,11.6744898,0.464641475,4.801868758,9.146052761,0.348885924,3.008495812,5.72433207,0.268946457,1.463414445,2.484441706,0.214060173,0.694445862,0.897556082
400137271,11.87755102,0.465028951,4.809362232,9.160603351,0.350504648,3.046290115,5.797589862,0.269905767,1.496294445,2.592843885,0.214687374,0.709483625,0.936512308
400137271,12.08061224,0.46538742,4.817130537,9.17443654,0.351440408,3.085725236,5.860708809,0.271886087,1.540063932,2.691408741,0.215694155,0.732200974,0.969096791
400137271,12.28367347,0.465670986,4.823911835,9.187773794,0.352562013,3.114998087,5.932920418,0.272776346,1.586490081,2.767494434,0.217064804,0.746972201,1.003202435
400137271,12.48673469,0.465894501,4.831110343,9.201679759,0.353824874,3.150890426,5.999854292,0.273866614,1.621943306,2.872806874,0.217623075,0.773506898,1.053467751
400137271,12.68979592,0.466736651,4.837677818,9.213697674,0.355051734,3.182977863,6.057589511,0.274852898,1.669015681,2.965353403,0.219651217,0.791787566,1.106039048
400137271,12.89285714,0.46678146,4.844138431,9.226332209,0.355647244,3.212677687,6.110784934,0.276112011,1.711018728,3.079053972,0.220118985,0.817475372,1.135972709
400137271,13.09591837,0.467249422,4.850574306,9.237878744,0.356670983,3.248985995,6.182253003,0.277755719,1.751116657,3.169849452,0.221044175,0.838870946,1.173248946
400137271,13.29897959,0.467595759,4.856421225,9.249186734,0.357458203,3.277756943,6.246240919,0.278650134,1.787544413,3.26935318,0.222225445,0.862922058,1.227245037
400137271,13.50204082,0.467875038,4.861897004,9.260238703,0.358794855,3.309378859,6.285362178,0.279330594,1.824211154,3.349231446,0.223836332,0.884483041,1.279407105
400137271,13.70510204,0.468098552,4.867227599,9.271271293,0.359994382,3.340389452,6.341047791,0.280510869,1.873334856,3.44527108,0.22485534,0.903184872,1.34323491
400137271,13.90816327,0.468505554,4.87288136,9.281966344,0.361091963,3.365208634,6.393567765,0.281872416,1.911227186,3.549413178,0.225144383,0.938169146,1.402295228
400137271,14.11122449,0.468705897,4.878521393,9.29190507,0.361846265,3.391673549,6.444974288,0.283300319,1.948184811,3.631044337,0.226384582,0.966035695,1.440215908
400137271,14.31428571,0.469079998,4.883661631,9.302369577,0.363069951,3.419094781,6.495536894,0.28422517,1.991711131,3.716119548,0.227372646,0.981973691,1.51526289
