random seed,call arrival count,blocked call count,Blocking probability,Service fraction,Offered Load,trunks,theoretical_erlang_B,,,,,,,trunks,Blocking probability,Offered Load
400137271,2502,497,0.1986410871,0.80136,6.0000000000,7,0.1850547358,,,,,,,7,0.1986410871,6.0000000000
400137271,2223,222,0.0998650472,0.90013,6.0000000000,8,0.1218757837,,,,,,,8,0.0998650472,6.0000000000
400137271,2169,165,0.0760719225,0.92393,6.0000000000,9,0.0751449555,,,,,,,9,0.0760719225,6.0000000000
400137271,2096,89,0.0424618321,0.95754,6.0000000000,10,0.0431418384,,,,,,,10,0.0424618321,6.0000000000
400137271,2050,41,0.0200000000,0.98000,6.0000000000,11,0.0229908922,,,,,,,11,0.0200000000,6.0000000000
400137271,2024,21,0.0103754941,0.98962,6.0000000000,12,0.0113648026,,,,,,,12,0.0103754941,6.0000000000
400137271,2012,4,0.0019880716,0.99801,6.0000000000,13,0.0052179240,,,,,,,13,0.0019880716,6.0000000000
400137271,2010,2,0.0009950249,0.99900,6.0000000000,14,0.0022312635,,,,,,,14,0.0009950249,6.0000000000
400137271,2008,0,0.0000000000,1.00000,6.0000000000,15,0.0008917095,,,,,,,15,0.0000000000,6.0000000000
400137271,2008,0,0.0000000000,1.00000,6.0000000000,16,0.0003342793,,,,,,,16,0.0000000000,6.0000000000
400137271,2008,0,0.0000000000,1.00000,6.0000000000,17,0.0001179670,,,,,,,17,0.0000000000,6.0000000000
400137271,2008,0,0.0000000000,1.00000,6.0000000000,18,0.0000393208,,,,,,,18,0.0000000000,6.0000000000
400137271,2008,0,0.0000000000,1.00000,6.0000000000,19,0.0000124169,,,,,,,19,0.0000000000,6.0000000000
400137271,2008,0,0.0000000000,1.00000,6.0000000000,20,0.0000037251,,,,,,,20,0.0000000000,6.0000000000
400137271,16480,14480,0.8786407767,0.12136,7.0000000000,1,0.8750000000,,,,,,,1,0.8786407767,7.0000000000
400137271,8088,6087,0.7525964392,0.24740,7.0000000000,2,0.7538461538,,,,,,,2,0.7525964392,7.0000000000
400137271,5660,3658,0.6462897527,0.35371,7.0000000000,3,0.6375464684,,,,,,,3,0.6462897527,7.0000000000
400137271,4436,2433,0.5484670875,0.45153,7.0000000000,4,0.5273446080,,,,,,,4,0.5484670875,7.0000000000
400137271,3479,1475,0.4239724059,0.57603,7.0000000000,5,0.4247194986,,,,,,,5,0.4239724059,7.0000000000
400137271,3014,1011,0.3354346384,0.66457,7.0000000000,6,0.3313300346,,,,,,,6,0.3354346384,7.0000000000
400137271,2623,618,0.2356080823,0.76439,7.0000000000,7,0.2488714488,,,,,,,7,0.2356080823,7.0000000000
400137271,2457,453,0.1843711844,0.81563,7.0000000000,8,0.1788218265,,,,,,,8,0.1843711844,7.0000000000
400137271,2265,259,0.1143487859,0.88565,7.0000000000,9,0.1221013433,,,,,,,9,0.1143487859,7.0000000000
400137271,2163,154,0.0711974110,0.92880,7.0000000000,10,0.0787408830,,,,,,,10,0.0711974110,7.0000000000
400137271,2106,99,0.0470085470,0.95299,7.0000000000,11,0.0477168468,,,,,,,11,0.0470085470,7.0000000000
400137271,2072,61,0.0294401544,0.97056,7.0000000000,12,0.0270810314,,,,,,,12,0.0294401544,7.0000000000
400137271,2031,29,0.0142786805,0.98572,7.0000000000,13,0.0143725125,,,,,,,13,0.0142786805,7.0000000000
400137271,2011,3,0.0014917951,0.99851,7.0000000000,14,0.0071349825,,,,,,,14,0.0014917951,7.0000000000
400137271,2012,2,0.0009940358,0.99901,7.0000000000,15,0.0033186086,,,,,,,15,0.0009940358,7.0000000000
400137271,2010,0,0.0000000000,1.00000,7.0000000000,16,0.0014497863,,,,,,,16,0.0000000000,7.0000000000
400137271,2010,0,0.0000000000,1.00000,7.0000000000,17,0.0005966147,,,,,,,17,0.0000000000,7.0000000000
400137271,2010,0,0.0000000000,1.00000,7.0000000000,18,0.0002319630,,,,,,,18,0.0000000000,7.0000000000
400137271,2010,0,0.0000000000,1.00000,7.0000000000,19,0.0000854528,,,,,,,19,0.0000000000,7.0000000000
400137271,2010,0,0.0000000000,1.00000,7.0000000000,20,0.0000299076,,,,,,,20,0.0000000000,7.0000000000
400137271,18162,16162,0.8898799692,0.11012,8.0000000000,1,0.8888888889,,,,,,,1,0.8898799692,8.0000000000
400137271,9238,7237,0.7833946742,0.21661,8.0000000000,2,0.7804878049,,,,,,,2,0.7833946742,8.0000000000
400137271,6187,4185,0.6764182964,0.32358,8.0000000000,3,0.6754617414,,,,,,,3,0.6764182964,8.0000000000
400137271,4931,2928,0.5937943622,0.40621,8.0000000000,4,0.5746352413,,,,,,,4,0.5937943622,8.0000000000
400137271,3907,1905,0.4875863834,0.51241,8.0000000000,5,0.4790083031,,,,,,,5,0.4875863834,8.0000000000
400137271,3332,1328,0.3985594238,0.60144,8.0000000000,6,0.3897518852,,,,,,,6,0.3985594238,8.0000000000
400137271,2846,840,0.2951510892,0.70485,8.0000000000,7,0.3081647000,,,,,,,7,0.2951510892,8.0000000000
400137271,2594,587,0.2262914418,0.77371,8.0000000000,8,0.2355702611,,,,,,,8,0.2262914418,8.0000000000
400137271,2424,418,0.1724422442,0.82756,8.0000000000,9,0.1731408277,,,,,,,9,0.1724422442,8.0000000000
400137271,2291,285,0.1243998254,0.87560,8.0000000000,10,0.1216610643,,,,,,,10,0.1243998254,8.0000000000
