Seed,Arrival Rate,"(0.50,1)","(5.25,1)","(10.00,1)","(0.50,5)","(5.25,5)","(10.00,5)","(0.50,9)","(5.25,9)","(10.00,9)","(0.50,13)","(5.25,13)","(10.00,13)","(0.50,17)","(5.25,17)","(10.00,17)",,,,,,,,,,,,,,,,,,,,
400137271,13,1.846001851,0.182467313,0.097333256,1.250335677,0.155370899,0.087929366,0.77779611,0.134308844,0.079987135,0.491496493,0.117514231,0.073271727,0.335129299,0.104367443,0.067470895,,,,,,,,,,,,,,,,,,,,
400137271,14,1.857052007,0.182705496,0.097380032,1.297594659,0.156086732,0.088051976,0.83031798,0.135218473,0.080207777,0.528857467,0.11869102,0.073476364,0.357376171,0.10537744,0.067934474,,,,,,,,,,,,,,,,,,,,
400137271,15,1.866440986,0.18287296,0.097415198,1.34011083,0.156782949,0.088231621,0.880947261,0.136174628,0.080415213,0.566450896,0.119425635,0.073752784,0.382728878,0.106021545,0.068030435,,,,,,,,,,,,,,,,,,,,
400137271,16,1.874931322,0.183057701,0.097450319,1.379307973,0.157441361,0.088371419,0.931602161,0.137132497,0.080654246,0.606439719,0.120533508,0.074038141,0.408090985,0.107103904,0.068351697,,,,,,,,,,,,,,,,,,,,
400137271,17,1.882288414,0.183278095,0.097493393,1.415053523,0.158079157,0.088552912,0.980430243,0.137787804,0.080905181,0.64736269,0.121564516,0.074307445,0.435196573,0.108061347,0.068549816,,,,,,,,,,,,,,,,,,,,
400137271,18,1.888806083,0.183432868,0.097533698,1.445904277,0.158789677,0.088599253,1.026551972,0.138830284,0.08111224,0.689376063,0.122408467,0.074560903,0.465025591,0.109143839,0.069018138,,,,,,,,,,,,,,,,,,,,
400137271,19,1.894672147,0.183601806,0.097551858,1.474259866,0.159372573,0.088822827,1.070262213,0.139634642,0.081296727,0.731472988,0.123316006,0.074774518,0.495728143,0.109767459,0.069168041,,,,,,,,,,,,,,,,,,,,
400137271,20,1.899950954,0.183770574,0.097579866,1.500553278,0.159981874,0.088920618,1.111696331,0.140544693,0.081492553,0.773745105,0.124355809,0.075014266,0.528423129,0.110990934,0.069444964,,,,,,,,,,,,,,,,,,,,
400137271,21,1.904702089,0.183892725,0.097617448,1.524636909,0.160591407,0.089072208,1.15081123,0.141212843,0.081728419,0.815966137,0.125221164,0.075298486,0.56258013,0.111669589,0.069627963,,,,,,,,,,,,,,,,,,,,
400137271,22,1.908775801,0.184098243,0.097676496,1.546007459,0.161228887,0.089224404,1.187645493,0.142070887,0.081911212,0.857550894,0.125983479,0.075493805,0.59764142,0.112721691,0.069994877,,,,,,,,,,,,,,,,,,,,
400137271,23,1.913126135,0.184209839,0.097692916,1.565706158,0.161770918,0.08935825,1.220204024,0.142893485,0.082119596,0.898167108,0.126959273,0.075828724,0.633066656,0.113596697,0.070185729,,,,,,,,,,,,,,,,,,,,
400137271,24,1.916288873,0.184366059,0.097727429,1.584049749,0.162309316,0.089463974,1.252543881,0.14362958,0.082308567,0.936220813,0.127866868,0.076056028,0.669709636,0.114540016,0.070551996,,,,,,,,,,,,,,,,,,,,
400137271,25,1.919876781,0.184475388,0.097760302,1.600291853,0.162844862,0.089608817,1.281031341,0.144386729,0.082495615,0.975479308,0.128808438,0.076257895,0.705851816,0.115428067,0.070815156,,,,,,,,,,,,,,,,,,,,
