Seed,arrival rate,"(Good)","(Bad)"
400137271,0.0637889447,19.0959220046,29.5943932244
400137271,0.0643869347,19.3115036379,29.8455274989
400137271,0.0649849246,19.5341906248,30.1052687811
400137271,0.0655829146,19.7661179217,30.3724801762
400137271,0.0661809045,20.0067945663,30.6480924537
400137271,0.0667788945,20.2554973070,30.9338724985
400137271,0.0673768844,20.5131865179,31.2305282831
400137271,0.0679748744,20.7820446232,31.5364795467
400137271,0.0685728643,21.0604218933,31.8548508998
400137271,0.0691708543,21.3514162802,32.1842985288
400137271,0.0697688442,21.6550485736,32.5261258104
400137271,0.0703668342,21.9698421359,32.8819565659
400137271,0.0709648241,22.2985661355,33.2511133875
400137271,0.0715628141,22.6414096875,33.6359870523
400137271,0.0721608040,23.0004850774,34.0378897681
400137271,0.0727587940,23.3762342979,34.4573012897
400137271,0.0733567839,23.7692641121,34.8943955442
400137271,0.0739547739,24.1827771436,35.3514892049
400137271,0.0745527638,24.6161090459,35.8306547952
400137271,0.0751507538,25.0705823651,36.3325013051
400137271,0.0757487437,25.5506238735,36.8579121363
400137271,0.0763467337,26.0546967355,37.4094138103
400137271,0.0769447236,26.5856536412,37.9893563379
400137271,0.0775427136,27.1478945148,38.5981939212
400137271,0.0781407035,27.7423803966,39.2392779540
400137271,0.0787386935,28.3700568183,39.9168775976
400137271,0.0793366834,29.0356404998,40.6329608207
400137271,0.0799346734,29.7421855403,41.3908527180
400137271,0.0805326633,30.4900598012,42.1928330405
400137271,0.0811306533,31.2872490953,43.0436716388
400137271,0.0817286432,32.1357955398,43.9466277076
400137271,0.0823266332,33.0423798065,44.9095940798
400137271,0.0829246231,34.0157193937,45.9392661290
400137271,0.0835226131,35.0586162086,47.0406198893
400137271,0.0841206030,36.1808637140,48.2226152096
400137271,0.0847185930,37.3911575943,49.4914604387
400137271,0.0853165829,38.7007175359,50.8597187891
400137271,0.0859145729,40.1165055332,52.3371575741
400137271,0.0865125628,41.6615756218,53.9435444990
400137271,0.0871105528,43.3574565490,55.7004914488
400137271,0.0877085427,45.2237593766,57.6303768169
400137271,0.0883065327,47.2911985497,59.7614154343
400137271,0.0889045226,49.5853046900,62.1179556179
400137271,0.0895025126,52.1361385595,64.7362142411
400137271,0.0901005025,55.0127389950,67.6797809572
400137271,0.0906984925,58.2804501095,71.0086176524
400137271,0.0912964824,62.0083174510,74.7997723822
400137271,0.0918944724,66.3037876861,79.1593066555
400137271,0.0924924623,71.2806912501,84.2087108779
400137271,0.0930904523,77.0737371797,90.0723636371
400137271,0.0936884422,83.9503446375,97.0146277873
400137271,0.0942864322,92.3385650617,105.4689235163
400137271,0.0948844221,102.7340033937,115.9262043182
400137271,0.0954824121,115.9336793744,129.1797873940
400137271,0.0960804020,133.4125199374,146.6896954478
400137271,0.0966783920,157.8790023637,171.1360832568
400137271,0.0972763819,193.8046271529,207.0041092284
400137271,0.0978743719,248.2763408193,261.3598455288
400137271,0.0984723618,341.4681850974,354.4417004493
400137271,0.0990703518,554.9155422716,567.5193784782
400137271,0.0996683417,1724.8254020542,1738.6714159369
400137271,0.1002663317,40826.4386103255,40824.4810896238
400137271,0.1008643216,128033.2083374607,128016.3056034094
400137271,0.1014623116,215688.2809998453,215656.4693719217
400137271,0.1020603015,302316.1778016633,302269.6353764173
400137271,0.1026582915,387934.8503824260,387873.7489865971
400137271,0.1032562814,472561.8306934687,472486.3437018065
400137271,0.1038542714,556214.4351141835,556124.7316526115
400137271,0.1044522613,638909.6076033374,638805.8551099448
400137271,0.1050502513,720663.3094473553,720545.6671768265
400137271,0.1056482412,801491.5240702251,801360.1551846651
400137271,0.1062462312,881409.8781177681,881264.9434817741
400137271,0.1068442211,960433.6510161131,960275.3040036632
400137271,0.1074422111,1038577.7779065521,1038406.1727927775
400137271,0.1080402010,1115856.8667748149,1115672.1517526307
400137271,0.1086381910,1192285.2006237681,1192087.5246061324
400137271,0.1092361809,1267876.7524646125,1267666.2595510874
400137271,0.1098341709,1342645.1876854489,1342422.0238949298
400137271,0.1104321608,1416603.8804002954,1416368.1842146574
400137271,0.1110301508,1489765.9127713805,1489517.8229453380
400137271,0.1116281407,1562144.0863723962,1561883.7424219404
400137271,0.1122261307,1633750.9324897695,1633478.4696184448
400137271,0.1128241206,1704598.7171136017,1704314.2654985208
400137271,0.1134221106,1774699.4441227920,1774403.1359174757
400137271,0.1140201005,1844064.8683187666,1843756.8321125640
400137271,0.1146180905,1912706.4995147714,1912386.8597337503
400137271,0.1152160804,1980635.6072338982,1980304.4869550143
400137271,0.1158140704,2047863.2252826176,2047520.7521542371
400137271,0.1164120603,2114400.1671006992,2114046.4605671405
400137271,0.1170100503,2180257.1509091137,2179892.3317028177
400137271,0.1176080402,2245444.8964884691,2245069.0785874170
