Seed,arrival rate,"(BEB,5,1.00,0.50)","(BEB,5,1.00,1.00)","(BEB,5,1.00,1.50)","(BEB,5,1.00,2.00)","(BEB,5,1.00,2.50)","(BEB,5,1.00,3.00)","(BEB,10,1.00,0.50)","(BEB,10,1.00,1.00)","(BEB,10,1.00,1.50)","(BEB,10,1.00,2.00)","(BEB,10,1.00,2.50)","(BEB,10,1.00,3.00)"
400137271,3.1838775510,468996.1533143301,679366.6751487711,195033.2612265947,528961.3077966921,573156.7526298356,576648.9436863225,1009259.5326248673,686920.1337618990,549519.3097143953,412807.4534179826,513434.0280102253,620030.7040724177
400137271,3.2654897959,508629.6971289640,710265.7199974114,20218.6397069900,538878.7096157129,571845.9519308704,649518.6032752935,592791.3839743335,196959.1395072599,351664.8746040422,440829.3730706535,525627.8452361792,498620.0310617748
400137271,3.3471020408,548729.8483795485,737943.5726948201,527508.6583515689,409297.5203023205,443198.0780723677,518453.6625942691,720557.5578929395,1023830.1249023980,423344.9555115302,514290.8680836371,572228.7551907850,499941.9318829200
400137271,3.4287142857,582555.0294873753,764525.3512793801,230615.5696639382,478923.2845100216,521124.8110852122,668358.5313193927,466922.6520456028,941019.2210234097,502675.3829003730,465720.2152540330,594889.0516578291,664495.6966855751
400137271,3.5103265306,616908.3553158065,790468.9725006243,156606.7275553979,558804.2007442068,486026.4279205993,587972.2792751291,707310.6246628873,132497.7927371563,502600.8645677326,426481.6813290044,587609.8491491613,645915.1795341215
400137271,3.5919387755,653827.3079241097,444967.7524250987,479130.2968822162,543491.2049266810,644239.9127277237,667712.0541650869,884014.7017114221,532050.2557084017,436475.4986001782,493446.6499860043,611783.4631975295,618487.0430567712
400137271,3.6735510204,679366.6751487711,195033.2612265947,528961.3077966921,573156.7526298356,576648.9436863225,696605.4120806076,686920.1337618990,549519.3097143953,412807.4534179826,513434.0280102253,620030.7040724177,647081.2527869188
400137271,3.7551632653,710265.7199974114,20218.6397069900,538878.7096157129,571845.9519308704,649518.6032752935,605921.2423139926,196959.1395072599,351664.8746040422,440829.3730706535,525627.8452361792,498620.0310617748,658606.6310480720
400137271,3.8367755102,737943.5726948201,527508.6583515689,409297.5203023205,443198.0780723677,518453.6625942691,633959.3128855231,1023830.1249023980,423344.9555115302,514290.8680836371,572228.7551907850,499941.9318829200,622852.3086728710
400137271,3.9183877551,764525.3512793801,230615.5696639382,478923.2845100216,521124.8110852122,668358.5313193927,687050.0537129239,941019.2210234097,502675.3829003730,465720.2152540330,594889.0516578291,664495.6966855751,623725.5130475002
400137271,4.0000000000,790468.9725006243,156606.7275553979,558804.2007442068,486026.4279205993,587972.2792751291,624517.0778465586,132497.7927371563,502600.8645677326,426481.6813290044,587609.8491491613,645915.1795341215,670245.8959063613

