Seed,arrival rate,"(BEB,5,1.00,0.50)","(BEB,5,1.00,1.00)","(BEB,5,1.00,1.50)","(BEB,5,1.00,2.00)","(BEB,5,1.00,2.50)","(BEB,5,1.00,3.00)","(BEB,10,1.00,0.50)","(BEB,10,1.00,1.00)","(BEB,10,1.00,1.50)","(BEB,10,1.00,2.00)","(BEB,10,1.00,2.50)","(BEB,10,1.00,3.00)"
400137271,0.9803469388,0.3980958867,0.4420426527,0.4722370350,0.4899967725,0.4901921477,0.4899581341,0.3779352040,0.3886542167,0.4575466744,0.4605996185,0.4663085917,0.4728959204
400137271,1.0619591837,0.4318926918,0.4290320781,0.4761575129,0.4895856122,0.4904657284,0.4898565762,0.3962996597,0.3995742281,0.4637536152,0.4687000995,0.4686585609,0.4860754550
400137271,1.1435714286,0.3308034294,0.4731068529,0.4294731172,0.4899699415,0.4899194200,0.4906674008,0.3914465848,0.4041557347,0.4425375391,0.4509007158,0.4761745243,0.4416184409
400137271,1.2251836735,0.4586894060,0.4651218121,0.4452681650,0.4896244569,0.4899774806,0.4900210389,0.3931942293,0.3866715483,0.4642787317,0.4683334196,0.4720176261,0.4862215120
400137271,1.3067959184,0.4320152714,0.4721603284,0.4728971036,0.4902186548,0.4900444225,0.4901317182,0.4220131389,0.4321541521,0.4346988210,0.4677412261,0.4444729116,0.4454593757
400137271,1.3884081633,0.4156573346,0.4636553563,0.4741795031,0.4898338335,0.4896613338,0.4904957679,0.4252052168,0.4294188940,0.4587551481,0.4712438556,0.4397851870,0.4718794862
400137271,1.4700204082,0.4420426527,0.4722370350,0.4899967725,0.4901921477,0.4899581341,0.4905582544,0.3886542167,0.4575466744,0.4605996185,0.4663085917,0.4728959204,0.4769687889
400137271,1.5516326531,0.4290320781,0.4761575129,0.4895856122,0.4904657284,0.4898565762,0.4905524109,0.3995742281,0.4637536152,0.4687000995,0.4686585609,0.4860754550,0.4164551650
400137271,1.6332448980,0.4731068529,0.4294731172,0.4899699415,0.4899194200,0.4906674008,0.8218959083,0.4041557347,0.4425375391,0.4509007158,0.4761745243,0.4416184409,0.8576772364
400137271,1.7148571429,0.4651218121,0.4452681650,0.4896244569,0.4899774806,0.4900210389,0.9448761667,0.3866715483,0.4642787317,0.4683334196,0.4720176261,0.4862215120,0.8464135510
400137271,1.7964693878,0.4721603284,0.4728971036,0.4902186548,0.4900444225,0.4901317182,0.8126317092,0.4321541521,0.4346988210,0.4677412261,0.4444729116,0.4454593757,0.7960257789
400137271,1.8780816327,0.4636553563,0.4741795031,0.4898338335,0.4896613338,0.4904957679,0.9017374595,0.4294188940,0.4587551481,0.4712438556,0.4397851870,0.4718794862,0.8106677545
400137271,1.9596938776,0.4722370350,0.4899967725,0.4901921477,0.4899581341,0.4905582544,0.9464874311,0.4575466744,0.4605996185,0.4663085917,0.4728959204,0.4769687889,0.9225732724
400137271,2.0413061224,0.4761575129,0.4895856122,0.4904657284,0.4898565762,0.4905524109,0.9508449711,0.4637536152,0.4687000995,0.4686585609,0.4860754550,0.4164551650,0.9223981775
400137271,2.1229183673,0.4294731172,0.4899699415,0.4899194200,0.4906674008,0.8218959083,0.9999825184,0.4425375391,0.4509007158,0.4761745243,0.4416184409,0.8576772364,0.9998309084
400137271,2.2045306122,0.4452681650,0.4896244569,0.4899774806,0.4900210389,0.9448761667,0.9999763653,0.4642787317,0.4683334196,0.4720176261,0.4862215120,0.8464135510,0.9999404590
400137271,2.2861428571,0.4728971036,0.4902186548,0.4900444225,0.4901317182,0.8126317092,0.9965104573,0.4346988210,0.4677412261,0.4444729116,0.4454593757,0.7960257789,0.9999392315
400137271,2.3677551020,0.4741795031,0.4898338335,0.4896613338,0.4904957679,0.9017374595,0.9999670942,0.4587551481,0.4712438556,0.4397851870,0.4718794862,0.8106677545,0.9998801435
400137271,2.4493673469,0.4899967725,0.4901921477,0.4899581341,0.4905582544,0.9464874311,0.9999930269,0.4605996185,0.4663085917,0.4728959204,0.4769687889,0.9225732724,0.9999247311
400137271,2.5309795918,0.4895856122,0.4904657284,0.4898565762,0.4905524109,0.9508449711,0.9999534441,0.4687000995,0.4686585609,0.4860754550,0.4164551650,0.9223981775,0.9950311840
400137271,2.6125918367,0.4899699415,0.4899194200,0.4906674008,0.8218959083,0.9999825184,0.9999866025,0.4509007158,0.4761745243,0.4416184409,0.8576772364,0.9998309084,0.9999770219
400137271,2.6942040816,0.4896244569,0.4899774806,0.4900210389,0.9448761667,0.9999763653,0.9999957124,0.4683334196,0.4720176261,0.4862215120,0.8464135510,0.9999404590,0.9999761941
400137271,2.7758163265,0.4902186548,0.4900444225,0.4901317182,0.8126317092,0.9965104573,0.9999898268,0.4677412261,0.4444729116,0.4454593757,0.7960257789,0.9999392315,0.9999759914
400137271,2.8574285714,0.4898338335,0.4896613338,0.4904957679,0.9017374595,0.9999670942,0.9999948519,0.4712438556,0.4397851870,0.4718794862,0.8106677545,0.9998801435,0.9999744915
400137271,2.9390408163,0.4901921477,0.4899581341,0.4905582544,0.9464874311,0.9999930269,0.9999992497,0.4663085917,0.4728959204,0.4769687889,0.9225732724,0.9999247311,0.9999738470
400137271,3.0206530612,0.4904657284,0.4898565762,0.4905524109,0.9508449711,0.9999534441,0.9999752077,0.4686585609,0.4860754550,0.4164551650,0.9223981775,0.9950311840,0.9999757051
400137271,3.1022653061,0.4899194200,0.4906674008,0.8218959083,0.9999825184,0.9999866025,0.9999923353,0.4761745243,0.4416184409,0.8576772364,0.9998309084,0.9999770219,0.9999883323
400137271,3.1838775510,0.4899774806,0.4900210389,0.9448761667,0.9999763653,0.9999957124,0.9999982138,0.4720176261,0.4862215120,0.8464135510,0.9999404590,0.9999761941,0.9999933856
400137271,3.2654897959,0.4900444225,0.4901317182,0.8126317092,0.9965104573,0.9999898268,0.9999995938,0.4444729116,0.4454593757,0.7960257789,0.9999392315,0.9999759914,0.9999870403
400137271,3.3471020408,0.4896613338,0.4904957679,0.9017374595,0.9999670942,0.9999948519,0.9999972533,0.4397851870,0.4718794862,0.8106677545,0.9998801435,0.9999744915,0.9999870204
400137271,3.4287142857,0.4899581341,0.4905582544,0.9464874311,0.9999930269,0.9999992497,0.9999945703,0.4728959204,0.4769687889,0.9225732724,0.9999247311,0.9999738470,0.9999953229
400137271,3.5103265306,0.4898565762,0.4905524109,0.9508449711,0.9999534441,0.9999752077,0.9999982062,0.4860754550,0.4164551650,0.9223981775,0.9950311840,0.9999757051,0.9999906394
400137271,3.5919387755,0.4906674008,0.8218959083,0.9999825184,0.9999866025,0.9999923353,0.9999996617,0.4416184409,0.8576772364,0.9998309084,0.9999770219,0.9999883323,0.9999985354
400137271,3.6735510204,0.4900210389,0.9448761667,0.9999763653,0.9999957124,0.9999982138,0.9999996617,0.4862215120,0.8464135510,0.9999404590,0.9999761941,0.9999933856,0.9999986616
400137271,3.7551632653,0.4901317182,0.8126317092,0.9965104573,0.9999898268,0.9999995938,0.9999941111,0.4454593757,0.7960257789,0.9999392315,0.9999759914,0.9999870403,0.9999962604
400137271,3.8367755102,0.4904957679,0.9017374595,0.9999670942,0.9999948519,0.9999972533,0.9999971617,0.4718794862,0.8106677545,0.9998801435,0.9999744915,0.9999870204,0.9999976646
400137271,3.9183877551,0.4905582544,0.9464874311,0.9999930269,0.9999992497,0.9999945703,0.9999982047,0.4769687889,0.9225732724,0.9999247311,0.9999738470,0.9999953229,0.9999986874
400137271,4.0000000000,0.4905524109,0.9508449711,0.9999534441,0.9999752077,0.9999982062,0.9999990352,0.4164551650,0.9223981775,0.9950311840,0.9999757051,0.9999906394,0.9999947151

