Seed,arrival rate,"(3,5)","(5,5)","(7,5)","(5,10)","(10,10)","(20,10)"
400137271,0.3189696970,0.5278214697,0.6078535900,0.6391985984,0.1707561629,0.5852227738,0.6328200741
400137271,0.3341111111,0.4811798530,0.5804622221,0.6149853480,0.1638466206,0.5535348458,0.6119531587
400137271,0.3492525253,0.3920441693,0.5485009196,0.5915574109,0.1641961441,0.5182123126,0.5926796946
400137271,0.3643939394,0.2552179306,0.5131236505,0.5683594305,0.1638609306,0.4704352608,0.5731053138
400137271,0.3795353535,0.2543617314,0.4683362542,0.5412098855,0.1636820071,0.3938110235,0.5564220283
400137271,0.3946767677,0.2546979677,0.3980810899,0.5125810455,0.1637354742,0.3134728434,0.5366139765
400137271,0.4098181818,0.2545861791,0.3606898554,0.4812291748,0.1637134935,0.3130754719,0.5213720845
400137271,0.4249595960,0.2543630254,0.3609408573,0.4416311558,0.1637607325,0.3130914493,0.5065838166
400137271,0.4401010101,0.2543814017,0.3607801655,0.4412774453,0.1637865619,0.3133684222,0.4961936981
400137271,0.4552424242,0.2544771436,0.3606157153,0.4416268650,0.1637090713,0.3130389161,0.4955128831
400137271,0.4703838384,0.2543520915,0.3611550316,0.4413245739,0.1636288159,0.3132956731,0.4958180229
400137271,0.4855252525,0.2545163286,0.3606434167,0.4413493108,0.1635722076,0.3130589080,0.4953994728
400137271,0.5006666667,0.2544801226,0.3608578891,0.4415632930,0.1638234309,0.3132521968,0.4954554350
400137271,0.5158080808,0.2544109775,0.3608690882,0.4418953954,0.1638153694,0.3133077465,0.4958512129
400137271,0.5309494949,0.2547274226,0.3611288165,0.4413121092,0.1637611949,0.3133848225,0.4954198435
400137271,0.5460909091,0.2546705302,0.3607370869,0.4417355259,0.1637848155,0.3133720557,0.4952829254
400137271,0.5612323232,0.2542746105,0.3606937584,0.4415556890,0.1637508929,0.3131436080,0.4952826801
400137271,0.5763737374,0.2547790174,0.3607860229,0.4417015758,0.1636505534,0.3134896476,0.4955836067
400137271,0.5915151515,0.2544362875,0.3608177863,0.4419219539,0.1637465126,0.3131592982,0.4953000974
400137271,0.6066565657,0.2543408997,0.3608646606,0.4414328912,0.1637528195,0.3130526357,0.4946914659
400137271,0.6217979798,0.2548109583,0.3607732670,0.4411411793,0.1638221611,0.3131873484,0.4954748284
400137271,0.6369393939,0.2544825835,0.3607541349,0.4415311240,0.1634694628,0.3130405820,0.4954939778
400137271,0.6520808081,0.2546646283,0.3607538746,0.4417179648,0.1637216554,0.3132573977,0.4957027528
400137271,0.6672222222,0.2544215929,0.3606787975,0.4411540236,0.1636970045,0.3130459717,0.4959731936
400137271,0.6823636364,0.2544092300,0.3607584297,0.4419049639,0.1635595735,0.3132682905,0.4950958283
400137271,0.6975050505,0.2546625593,0.3605777465,0.4417665538,0.1638183801,0.3131276252,0.4956548418
400137271,0.7126464646,0.2546296773,0.3606331420,0.4418159342,0.1635351812,0.3130681208,0.4955224591
400137271,0.7277878788,0.2546195095,0.3608822416,0.4410746342,0.1637223427,0.3131494916,0.4961186160
400137271,0.7429292929,0.2547396635,0.3609141522,0.4413791155,0.1637446166,0.3132481737,0.4956730224
400137271,0.7580707071,0.2546861730,0.3612240438,0.4411717345,0.1635514886,0.3132250180,0.4954505255
400137271,0.7732121212,0.2548475275,0.3608660931,0.4418208143,0.1634302973,0.3129987439,0.4959675359
400137271,0.7883535354,0.2546038752,0.3609502376,0.4415079262,0.1637549261,0.3129743518,0.4952544717
400137271,0.8034949495,0.2544141316,0.3609019083,0.4419803549,0.1638225919,0.3128343417,0.4957813961
400137271,0.8186363636,0.2542704051,0.3607609025,0.4423815700,0.1636407296,0.3131601931,0.4953687971
