Seed,arrival rate,"(3,5,0.50,0.50)","(3,5,0.50,2.00)","(3,5,0.50,3.50)","(3,5,1.00,0.50)","(3,5,1.00,2.00)","(3,5,1.00,3.50)","(3,5,1.50,0.50)","(3,5,1.50,2.00)","(3,5,1.50,3.50)","(3,10,0.50,0.50)","(3,10,0.50,2.00)","(3,10,0.50,3.50)","(3,10,1.00,0.50)","(3,10,1.00,2.00)","(3,10,1.00,3.50)","(3,10,1.50,0.50)","(3,10,1.50,2.00)","(3,10,1.50,3.50)"
400137271,0.8492020202,1.0890194004,1.5959793526,2.0240903884,1.2440422340,1.7775923949,2.0575232902,1.4143993787,1.9283933167,2.0346011717,1.1369350417,1.7145038852,2.2043691385,1.3102469170,1.9336202622,2.2126758496,1.5031689923,2.1404738605,2.2370675823
400137271,0.8794949495,1.1385061242,1.6544525950,1.9050812747,1.3006819083,1.8434633618,2.0478270376,1.4751721414,1.9163201913,1.9979865174,1.1876508338,1.7826092220,2.2426482884,1.3689812552,1.9674298704,2.2817353802,1.5675747481,2.1557199041,2.2681322427
400137271,0.9097878788,1.1929568992,1.7155783550,2.0196759922,1.3644326581,1.8623402365,1.8435093604,1.5329389517,2.0186616485,2.1416923195,1.2490493638,1.8634473834,2.1135478362,1.4408740800,2.0377195342,2.2569721773,1.6437383304,2.2056655646,2.0421865925
400137271,0.9400808081,1.2440422340,1.7775923949,2.0575232902,1.4143993787,1.9283933167,2.0346011717,1.5959793526,2.0240903884,2.1158827848,1.3102469170,1.9336202622,2.2126758496,1.5031689923,2.1404738605,2.2370675823,1.7145038852,2.2043691385,2.2198893004
400137271,0.9703737374,1.3006819083,1.8434633618,2.0478270376,1.4751721414,1.9163201913,1.9979865174,1.6544525950,1.9050812747,1.9925385883,1.3689812552,1.9674298704,2.2817353802,1.5675747481,2.1557199041,2.2681322427,1.7826092220,2.2426482884,2.1972250528
400137271,1.0006666667,1.3644326581,1.8623402365,1.8435093604,1.5329389517,2.0186616485,2.1416923195,1.7155783550,2.0196759922,2.1464072142,1.4408740800,2.0377195342,2.2569721773,1.6437383304,2.2056655646,2.0421865925,1.8634473834,2.1135478362,2.2053260460
400137271,1.0309595960,1.4143993787,1.9283933167,2.0346011717,1.5959793526,2.0240903884,2.1158827848,1.7775923949,2.0575232902,2.1001562582,1.5031689923,2.1404738605,2.2370675823,1.7145038852,2.2043691385,2.2198893004,1.9336202622,2.2126758496,2.0495339949
400137271,1.0612525253,1.4751721414,1.9163201913,1.9979865174,1.6544525950,1.9050812747,1.9925385883,1.8434633618,2.0478270376,2.1505045971,1.5675747481,2.1557199041,2.2681322427,1.7826092220,2.2426482884,2.1972250528,1.9674298704,2.2817353802,2.2237900860
400137271,1.0915454545,1.5329389517,2.0186616485,2.1416923195,1.7155783550,2.0196759922,2.1464072142,1.8623402365,1.8435093604,2.1757855003,1.6437383304,2.2056655646,2.0421865925,1.8634473834,2.1135478362,2.2053260460,2.0377195342,2.2569721773,2.2714048523
400137271,1.1218383838,1.5959793526,2.0240903884,2.1158827848,1.7775923949,2.0575232902,2.1001562582,1.9283933167,2.0346011717,2.1474427074,1.7145038852,2.2043691385,2.2198893004,1.9336202622,2.2126758496,2.0495339949,2.1404738605,2.2370675823,2.2855734915
400137271,1.1521313131,1.6544525950,1.9050812747,1.9925385883,1.8434633618,2.0478270376,2.1505045971,1.9163201913,1.9979865174,2.0734097387,1.7826092220,2.2426482884,2.1972250528,1.9674298704,2.2817353802,2.2237900860,2.1557199041,2.2681322427,2.2540519848
400137271,1.1824242424,1.7155783550,2.0196759922,2.1464072142,1.8623402365,1.8435093604,2.1757855003,2.0186616485,2.1416923195,1.9122443341,1.8634473834,2.1135478362,2.2053260460,2.0377195342,2.2569721773,2.2714048523,2.2056655646,2.0421865925,2.2230947690
400137271,1.2127171717,1.7775923949,2.0575232902,2.1001562582,1.9283933167,2.0346011717,2.1474427074,2.0240903884,2.1158827848,2.2016887915,1.9336202622,2.2126758496,2.0495339949,2.1404738605,2.2370675823,2.2855734915,2.2043691385,2.2198893004,2.2747445674
400137271,1.2430101010,1.8434633618,2.0478270376,2.1505045971,1.9163201913,1.9979865174,2.0734097387,1.9050812747,1.9925385883,1.9383921489,1.9674298704,2.2817353802,2.2237900860,2.1557199041,2.2681322427,2.2540519848,2.2426482884,2.1972250528,2.2240149604
