Seed,arrival rate,"(3,5)","(5,5)","(7,5)","(5,10)","(10,10)","(20,10)",,Seed,arrival rate,"(3,5)","(5,5)","(7,5)","(5,10)","(10,10)","(20,10)"
400137271,1.257737374,1.375055734,1.101028692,0.959594354,1.777508606,1.214054431,0.880185259,,400137271,1.257737374,0.349996277,0.397004173,0.424083931,0.291171789,0.380335242,0.436205075
400137271,1.272878788,1.375121948,1.101291034,0.958749945,1.776989377,1.213739726,0.87978909,,400137271,1.272878788,0.349918294,0.397774307,0.422988515,0.290691519,0.380254655,0.435821636
400137271,1.288020202,1.375534936,1.10169069,0.959142887,1.777441215,1.214095699,0.879671981,,400137271,1.288020202,0.350238781,0.397370161,0.423787788,0.290825621,0.380180762,0.435623567
400137271,1.303161616,1.375029527,1.101640943,0.95946411,1.777429334,1.214181082,0.879831841,,400137271,1.303161616,0.349811511,0.397700621,0.423603252,0.291104144,0.380540217,0.435826686
400137271,1.31830303,1.375349772,1.101527984,0.959090437,1.776662171,1.213997739,0.879591183,,400137271,1.31830303,0.350280155,0.397562247,0.423071583,0.290319902,0.380164535,0.435810941
400137271,1.333444444,1.37557031,1.101015858,0.960193492,1.777654833,1.213869758,0.880035611,,400137271,1.333444444,0.350112323,0.396922076,0.424510636,0.29124129,0.380307781,0.436197984
400137271,1.348585859,1.37517439,1.101291734,0.959324085,1.777033528,1.214273928,0.88008429,,400137271,1.348585859,0.349857402,0.397366696,0.423436261,0.290727986,0.380515329,0.435920152
400137271,1.363727273,1.375622098,1.101818534,0.959293775,1.777228441,1.214125407,0.880669535,,400137271,1.363727273,0.350208355,0.397908763,0.423302352,0.291316628,0.380832296,0.436775502
400137271,1.378868687,1.375496649,1.101466741,0.958658132,1.777104388,1.214333119,0.880709808,,400137271,1.378868687,0.350558508,0.397289626,0.423108758,0.290705421,0.380841396,0.436630357
400137271,1.394010101,1.375558425,1.101600719,0.959490491,1.777015524,1.213871913,0.879777971,,400137271,1.394010101,0.350359142,0.397413283,0.423462706,0.290660837,0.379787555,0.436053662
400137271,1.409151515,1.375050937,1.100859655,0.958479265,1.777658424,1.214196775,0.880494049,,400137271,1.409151515,0.349784553,0.39682929,0.423018985,0.291202927,0.380333376,0.436605802
400137271,1.424292929,1.375253758,1.10159894,0.959131773,1.777738611,1.21445813,0.880597085,,400137271,1.424292929,0.350171756,0.397231471,0.423275739,0.290992329,0.380461741,0.436625177
400137271,1.439434343,1.375700495,1.101400389,0.959252047,1.777353699,1.214108299,0.879530285,,400137271,1.439434343,0.350235755,0.397450897,0.423789987,0.290888035,0.380451867,0.435819589
400137271,1.454575758,1.375231235,1.101656904,0.959215063,1.777782331,1.214297272,0.879615065,,400137271,1.454575758,0.349975679,0.397660048,0.423439582,0.291447748,0.380026186,0.435893411
400137271,1.469717172,1.375561068,1.101556033,0.959685095,1.77773479,1.214419273,0.88057258,,400137271,1.469717172,0.350450459,0.397458677,0.423648428,0.291298392,0.38053162,0.436454509
400137271,1.484858586,1.375241377,1.101673952,0.959772517,1.77767466,1.213359692,0.880446694,,400137271,1.484858586,0.35028174,0.397608888,0.423892949,0.290740734,0.3799275,0.436217882
400137271,1.5,1.375093659,1.100416239,0.959049615,1.777412571,1.213922792,0.879773466,,400137271,1.5,0.34990715,0.396712528,0.423085322,0.291244057,0.380190278,0.435502722
