Seed,arrival rate,"(3,5,0.50,0.50)","(3,5,0.50,2.00)","(3,5,0.50,3.50)","(3,5,1.00,0.50)","(3,5,1.00,2.00)","(3,5,1.00,3.50)","(3,5,1.50,0.50)","(3,5,1.50,2.00)","(3,5,1.50,3.50)","(3,10,0.50,0.50)","(3,10,0.50,2.00)","(3,10,0.50,3.50)","(3,10,1.00,0.50)","(3,10,1.00,2.00)","(3,10,1.00,3.50)","(3,10,1.50,0.50)","(3,10,1.50,2.00)","(3,10,1.50,3.50)",,,Seed,arrival rate,"(3,5,0.50,0.50)","(3,5,0.50,2.00)","(3,5,0.50,3.50)","(BEB,5,1.00,0.50)","(BEB,5,1.00,2.00)","(BEB,5,1.00,3.50)","(3,5,1.50,0.50)","(3,5,1.50,2.00)","(3,5,1.50,3.50)","(3,10,0.50,0.50)","(3,10,0.50,2.00)","(3,10,0.50,3.50)","(3,10,1.00,0.50)","(3,10,1.00,2.00)","(3,10,1.00,3.50)","(3,10,1.50,0.50)","(3,10,1.50,2.00)","(3,10,1.50,3.50)",,,,,,"(3,5,0.50,0.50)","(3,5,0.50,2.00)","(3,5,0.50,3.50)","(3,5,1.00,0.50)","(3,5,1.00,2.00)","(3,5,1.00,3.50)","(3,5,1.50,0.50)","(3,5,1.50,2.00)","(3,5,1.50,3.50)","(3,10,0.50,0.50)","(3,10,0.50,2.00)","(3,10,0.50,3.50)","(3,10,1.00,0.50)","(3,10,1.00,2.00)","(3,10,1.00,3.50)","(3,10,1.50,0.50)","(3,10,1.50,2.00)","(3,10,1.50,3.50)",,,,,Seed,arrival rate,"(3,5)","(3,10)",,,Seed,arrival rate,"(BEB,5)","(BEB,10)"
400137271,0.303929293,0.152491062,0.288019718,0.425403504,0.197394772,0.33386118,0.469392467,0.24261927,0.379028266,0.515233125,0.15209644,0.28846582,0.42505488,0.197570608,0.333643449,0.469873288,0.243315638,0.378642814,0.515987171,,,400137271,0.303929293,1.105405221,1.464401908,2.434958864,1.196207516,1.66943753,3.011772661,1.309233758,1.926445035,3.955476798,1.1125986,1.477132799,2.484103489,1.208835169,1.702474852,3.868826722,1.325350621,1.95821059,7.074825764,,,,,,,,,,,,,,,,,,,,,,,,,,,,400137271,0.101909,0.101831,0.101897,,,400137271,0.101909,2.164546,2.219696
400137271,0.334222222,0.167429753,0.30372605,0.439301433,0.212460393,0.348913006,0.484988868,0.257313782,0.393570874,0.530704194,0.167176797,0.304048909,0.438395647,0.21220182,0.349123123,0.48453682,0.258038432,0.393290999,0.531334914,,,400137271,0.334222222,1.133775311,1.539219112,2.581123487,1.233085329,1.722421354,3.362387444,1.363476116,2.059344034,5.369073266,1.142791879,1.545350736,4.433785461,1.246352748,1.865655763,3.463043306,1.376091422,2.343663709,20.36024291,,,,,,,,,,,,,,,,,,,,,,,,,,,,400137271,0.112,0.112039,0.112021,,,400137271,0.112,2.255195,2.321117
400137271,0.364515152,0.182286939,0.318929676,0.454619652,0.227902387,0.363866985,0.502919791,0.272824432,0.40874876,0.545271705,0.182512004,0.318203519,0.45444418,0.227464004,0.363588517,0.501041443,0.27286185,0.409170537,0.546301716,,,400137271,0.364515152,1.166605481,1.593561074,2.719397764,1.276183068,1.844599699,4.23013326,1.412493943,2.318485906,8.919635819,1.175186159,1.61686721,2.87231922,1.291430274,1.837112175,4.987543307,1.443887518,2.246383259,13.57980567,,,,,,,,,,,,,,,,,,,,,,,,,,,,400137271,0.122091,0.121975,0.121991,,,400137271,0.122091,2.355024,2.430639
400137271,0.394808081,0.197394772,0.33386118,0.469392467,0.24261927,0.379028266,0.515233125,0.288019718,0.425403504,0.560952463,0.197570608,0.333643449,0.469873288,0.243315638,0.378642814,0.515987171,0.28846582,0.42505488,0.559560814,,,400137271,0.394808081,1.196207516,1.66943753,3.011772661,1.309233758,1.926445035,3.955476798,1.464401908,2.434958864,8.657685741,1.208835169,1.702474852,3.868826722,1.325350621,1.95821059,7.074825764,1.477132799,2.484103489,13.37769761,,,,,,,,,,,,,,,,,,,,,,,,,,,,400137271,0.132182,0.13218,0.132138,,,400137271,0.132182,2.488418,2.58088
400137271,0.42510101,0.212460393,0.348913006,0.484988868,0.257313782,0.393570874,0.530704194,0.30372605,0.439301433,0.575467064,0.21220182,0.349123123,0.48453682,0.258038432,0.393290999,0.531334914,0.304048909,0.438395647,0.577074309,,,400137271,0.42510101,1.233085329,1.722421354,3.362387444,1.363476116,2.059344034,5.369073266,1.539219112,2.581123487,14.955394,1.246352748,1.865655763,3.463043306,1.376091422,2.343663709,20.36024291,1.545350736,4.433785461,156.740433,,,,,,,,,,,,,,,,,,,,,,,,,,,,400137271,0.142273,0.142153,0.142352,,,400137271,0.142273,2.625053,2.728693
400137271,0.455393939,0.227902387,0.363866985,0.502919791,0.272824432,0.40874876,0.545271705,0.318929676,0.454619652,0.591639205,0.227464004,0.363588517,0.501041443,0.27286185,0.409170537,0.546301716,0.318203519,0.45444418,0.590784403,,,400137271,0.455393939,1.276183068,1.844599699,4.23013326,1.412493943,2.318485906,8.919635819,1.593561074,2.719397764,28.01111138,1.291430274,1.837112175,4.987543307,1.443887518,2.246383259,13.57980567,1.61686721,2.87231922,97.07682955,,,,,,,,,,,,,,,,,,,,,,,,,,,,400137271,0.152364,0.152252,0.15249,,,400137271,0.152364,2.806039,2.875507
400137271,0.485686869,0.24261927,0.379028266,0.515233125,0.288019718,0.425403504,0.560952463,0.33386118,0.469392467,0.605846999,0.243315638,0.378642814,0.515987171,0.28846582,0.42505488,0.559560814,0.333643449,0.469873288,0.606096157,,,400137271,0.485686869,1.309233758,1.926445035,3.955476798,1.464401908,2.434958864,8.657685741,1.66943753,3.011772661,16.71659716,1.325350621,1.95821059,7.074825764,1.477132799,2.484103489,13.37769761,1.702474852,3.868826722,106.9673455,,,,,,,,,,,,,,,,,,,,,,,,,,,,400137271,0.162455,0.16243,0.162581,,,400137271,0.162455,2.997717,3.139293
400137271,0.515979798,0.257313782,0.393570874,0.530704194,0.30372605,0.439301433,0.575467064,0.348913006,0.484988868,0.621641736,0.258038432,0.393290999,0.531334914,0.304048909,0.438395647,0.577074309,0.349123123,0.48453682,0.622531043,,,400137271,0.515979798,1.363476116,2.059344034,5.369073266,1.539219112,2.581123487,14.955394,1.722421354,3.362387444,23.65667589,1.376091422,2.343663709,20.36024291,1.545350736,4.433785461,156.740433,1.865655763,3.463043306,718.9062935,,,,,,,,,,,,,,,,,,,,,,,,,,,,400137271,0.172545,0.172452,0.17267,,,400137271,0.172545,3.141177,3.297206
400137271,0.546272727,0.272824432,0.40874876,0.545271705,0.318929676,0.454619652,0.591639205,0.363866985,0.502919791,0.636682118,0.27286185,0.409170537,0.546301716,0.318203519,0.45444418,0.590784403,0.363588517,0.501041443,0.636400328,,,400137271,0.546272727,1.412493943,2.318485906,8.919635819,1.593561074,2.719397764,28.01111138,1.844599699,4.23013326,213.7938763,1.443887518,2.246383259,13.57980567,1.61686721,2.87231922,97.07682955,1.837112175,4.987543307,941.8291371,,,,,,,,,,,,,,,,,,,,,,,,,,,,400137271,0.182636,0.18258,0.182964,,,400137271,0.182636,3.421548,3.578545
400137271,0.576565657,0.288019718,0.425403504,0.560952463,0.33386118,0.469392467,0.605846999,0.379028266,0.515233125,0.651229097,0.28846582,0.42505488,0.559560814,0.333643449,0.469873288,0.606096157,0.378642814,0.515987171,0.65111327,,,400137271,0.576565657,1.464401908,2.434958864,8.657685741,1.66943753,3.011772661,16.71659716,1.926445035,3.955476798,75.68818456,1.477132799,2.484103489,13.37769761,1.702474852,3.868826722,106.9673455,1.95821059,7.074825764,274.5501217,,,,,,,,,,,,,,,,,,,,,,,,,,,,400137271,0.192727,0.192521,0.192758,,,400137271,0.192727,3.750732,3.994925
