Seed,arrival rate,"(3,5)","(3,10)",,Seed,arrival rate,"(BEB,5)","(BEB,10)"
400137271,9.749256281,0.999795571,0.974594841,,400137271,9.749256281,243324.3506,21.80656497
400137271,9.849753769,0.999820522,0.985301977,,400137271,9.849753769,246498.7216,35.94472702
400137271,9.950251256,0.99979511,0.995360289,,400137271,9.950251256,249105.4675,224.1276384
400137271,10.05074874,0.999808189,0.999596367,,400137271,10.05074874,251052.1695,2749.550111
400137271,10.15124623,0.999804533,0.999587065,,400137271,10.15124623,254196.5255,8175.394543
400137271,10.25174372,0.999797511,0.999548186,,400137271,10.25174372,256794.1995,12278.13086
400137271,10.35224121,0.999802383,0.999589551,,400137271,10.35224121,258893.0069,17305.72424
400137271,10.45273869,0.999797394,0.99955892,,400137271,10.45273869,261122.8527,22284.25759
400137271,10.55323618,0.999809811,0.999566074,,400137271,10.55323618,263114.4152,26033.46069
400137271,10.65373367,0.999792357,0.999607347,,400137271,10.65373367,265727.3667,31053.82193
400137271,10.75423116,0.999808872,0.999560614,,400137271,10.75423116,267735.8183,35559.39206
400137271,10.85472864,0.999801816,0.999608682,,400137271,10.85472864,269860.8831,40011.4269
400137271,10.95522613,0.999808718,0.99959596,,400137271,10.95522613,271952.0377,44444.70823
400137271,11.05572362,0.999795727,0.99959683,,400137271,11.05572362,274084.6244,48246.24442
400137271,11.15622111,0.999780104,0.999552907,,400137271,11.15622111,276188.4821,52618.25268
400137271,11.25671859,0.99979244,0.999568684,,400137271,11.25671859,277989.9853,57143.42198
400137271,11.35721608,0.999782214,0.999601484,,400137271,11.35721608,280068.1478,60906.19828
400137271,11.45771357,0.999825532,0.999587178,,400137271,11.45771357,281972.0835,64346.74528
400137271,11.55821106,0.999781614,0.999572553,,400137271,11.55821106,283797.5301,66607.82255
400137271,11.65870854,0.999779295,0.99960412,,400137271,11.65870854,286047.6691,72234.54955
400137271,11.75920603,0.999790489,0.999582002,,400137271,11.75920603,287932.136,74852.24249
400137271,11.85970352,0.999806747,0.999570958,,400137271,11.85970352,289602.886,78719.26645
