Seed,arrival rate,"(3,5)","(3,10)",,,,Seed,arrival rate,"(3,5)","(3,10)",,,,Seed,arrival rate,"(3,5)","(3,10)",,Theory,Theory
400137271,0.898510204,0.681440605,0.650765463,,,,400137271,0.898510204,0.646788277,0.620136902,,,,400137271,0.898510204,153504.1032,179205.7192,,0.174395879,0.17708297
400137271,0.939306122,0.618972312,0.609237779,,,,400137271,0.939306122,0.586605753,0.536700552,,,,400137271,0.939306122,199569.3679,258121.9389,,0.179489358,0.180139775
400137271,0.980102041,0.616324881,0.642111154,,,,400137271,0.980102041,0.607295609,0.589408054,,,,400137271,0.980102041,122274.7503,188455.3709,,0.179670473,0.177778629
400137271,1.020897959,0.532475358,0.583140483,,,,400137271,1.020897959,0.484170183,0.545905881,,,,400137271,1.020897959,28302.29682,279427.5122,,0.183568135,0.18166188
400137271,1.061693878,0.673860774,0.698622388,,,,400137271,1.061693878,0.662163003,0.666105133,,,,400137271,1.061693878,228959.443,213812.2366,,0.175090323,0.172753479
400137271,1.102489796,0.586135866,0.600510876,,,,400137271,1.102489796,0.567767453,0.539422856,,,,400137271,1.102489796,37055.38039,212330.4242,,0.181504398,0.18068569
400137271,1.143285714,0.778441791,0.51862779,,,,400137271,1.143285714,0.775815655,0.444515118,,,,400137271,1.143285714,143101.9749,137298.9569,,0.164089274,0.183815195
400137271,1.184081633,0.584237749,0.623080156,,,,400137271,1.184081633,0.583150756,0.58454299,,,,400137271,1.184081633,117185.7637,231317.8309,,0.181604729,0.179202215
400137271,1.224877551,0.609143576,0.616033175,,,,400137271,1.224877551,0.603519379,0.569238366,,,,400137271,1.224877551,81530.42669,168848.7337,,0.180145858,0.179690238
400137271,1.265673469,0.590307737,0.718473592,,,,400137271,1.265673469,0.589299446,0.690685916,,,,400137271,1.265673469,119366.7173,243177.633,,0.181277411,0.170746802
400137271,1.306469388,0.690866275,0.658615196,,,,400137271,1.306469388,0.689741307,0.63027187,,,,400137271,1.306469388,132317.8997,190537.157,,0.173506269,0.176427328
400137271,1.347265306,0.704272677,0.544815465,,,,400137271,1.347265306,0.70084066,0.459218512,,,,400137271,1.347265306,250585.2354,188812.483,,0.172193742,0.183243563
400137271,1.388061225,0.734751942,0.53904426,,,,400137271,1.388061225,0.733822922,0.451130629,,,,400137271,1.388061225,256502.7723,110937.393,,0.169022031,0.183407263
400137271,1.428857143,0.577030188,0.73756552,,,,400137271,1.428857143,0.576321889,0.71858062,,,,400137271,1.428857143,217489.5984,161888.2917,,0.181968612,0.168717191
400137271,1.469653061,0.655999668,0.705784887,,,,400137271,1.469653061,0.655078628,0.676619216,,,,400137271,1.469653061,257030.1758,294833.8663,,0.176648335,0.17204236
400137271,1.51044898,0.752307405,0.624019858,,,,400137271,1.51044898,0.751724818,0.572077508,,,,400137271,1.51044898,255615.5573,159979.3526,,0.167089603,0.179135495
400137271,1.551244898,0.593641613,0.650352792,,,,400137271,1.551244898,0.592760771,0.599419517,,,,400137271,1.551244898,151234.542,143885.1021,,0.181089714,0.177116798
400137271,1.592040816,0.754603522,0.682801929,,,,400137271,1.592040816,0.753963407,0.666543597,,,,400137271,1.592040816,253934.1718,190884.0811,,0.166831685,0.174269153
400137271,1.632836735,0.708528268,0.763626248,,,,400137271,1.632836735,0.707804891,0.743222559,,,,400137271,1.632836735,273257.8531,210251.7784,,0.171766058,0.16580725
400137271,1.673632653,0.598918942,0.708187712,,,,400137271,1.673632653,0.598449159,0.700591202,,,,400137271,1.673632653,152450.3383,244514.1061,,0.180781367,0.171800473
400137271,1.714428571,0.712733912,0.807683844,,,,400137271,1.714428571,0.712239618,0.791744445,,,,400137271,1.714428571,286284.1498,215071.1787,,0.171338363,0.160581726
400137271,1.75522449,0.510155329,0.778210534,,,,400137271,1.75522449,0.509760265,0.770942092,,,,400137271,1.75522449,73334.29317,235301.1182,,0.183902291,0.164116416
400137271,1.796020408,0.793305009,0.740749055,,,,400137271,1.796020408,0.792378718,0.727267694,,,,400137271,1.796020408,178026.8915,216114.2822,,0.162324555,0.168369977
