Seed,arrival rate,"(BEB,5,0.50,0.50)","(BEB,5,0.50,1.00)","(BEB,5,0.50,1.50)","(BEB,5,2.00,0.50)","(BEB,5,2.00,1.00)","(BEB,5,2.00,1.50)","(BEB,5,3.50,0.50)","(BEB,5,3.50,1.00)","(BEB,5,3.50,1.50)","(BEB,10,0.50,0.50)","(BEB,10,0.50,1.00)","(BEB,10,0.50,1.50)","(BEB,10,2.00,0.50)","(BEB,10,2.00,1.00)","(BEB,10,2.00,1.50)","(BEB,10,3.50,0.50)","(BEB,10,3.50,1.00)","(BEB,10,3.50,1.50)"
400137271,0.8492020202,0.7802600451,0.7028207006,0.6882312457,0.7555369526,0.6814969489,0.7214174410,0.7287593964,0.6758674759,0.7661590608,0.7476406331,0.6540414859,0.6268916455,0.7176293545,0.6266645778,0.6515795592,0.6865665698,0.6087768577,0.6941238942
400137271,0.8794949495,0.7722323771,0.6965267693,0.6951405505,0.7457800038,0.6745567319,0.7400467414,0.7196512282,0.6946788986,0.7373995017,0.7393972286,0.6464784380,0.6341073671,0.7083758359,0.6321432184,0.6578570832,0.6770173594,0.6191022769,0.6989238669
400137271,0.9097878788,0.7628405129,0.6895557813,0.7205052183,0.7358265098,0.6842140194,0.7323260433,0.7123217415,0.6754994981,0.7590853022,0.7281825583,0.6343744687,0.6773273476,0.6954320545,0.6249211037,0.6415656254,0.6642430651,0.6170287597,0.6875744299
400137271,0.9400808081,0.7555369526,0.6814969489,0.7214174410,0.7287593964,0.6758674759,0.7661590608,0.7028207006,0.6882312457,0.7844017015,0.7176293545,0.6266645778,0.6515795592,0.6865665698,0.6087768577,0.6941238942,0.6540414859,0.6268916455,0.7306256347
400137271,0.9703737374,0.7457800038,0.6745567319,0.7400467414,0.7196512282,0.6946788986,0.7373995017,0.6965267693,0.6951405505,0.7217709951,0.7083758359,0.6321432184,0.6578570832,0.6770173594,0.6191022769,0.6989238669,0.6464784380,0.6341073671,0.7003002187
400137271,1.0006666667,0.7358265098,0.6842140194,0.7323260433,0.7123217415,0.6754994981,0.7590853022,0.6895557813,0.7205052183,0.7942647729,0.6954320545,0.6249211037,0.6415656254,0.6642430651,0.6170287597,0.6875744299,0.6343744687,0.6773273476,0.7262132482
400137271,1.0309595960,0.7287593964,0.6758674759,0.7661590608,0.7028207006,0.6882312457,0.7844017015,0.6814969489,0.7214174410,0.7988439131,0.6865665698,0.6087768577,0.6941238942,0.6540414859,0.6268916455,0.7306256347,0.6266645778,0.6515795592,0.7563678610
400137271,1.0612525253,0.7196512282,0.6946788986,0.7373995017,0.6965267693,0.6951405505,0.7217709951,0.6745567319,0.7400467414,0.8172558673,0.6770173594,0.6191022769,0.6989238669,0.6464784380,0.6341073671,0.7003002187,0.6321432184,0.6578570832,0.7290223810
400137271,1.0915454545,0.7123217415,0.6754994981,0.7590853022,0.6895557813,0.7205052183,0.7942647729,0.6842140194,0.7323260433,0.8258593066,0.6642430651,0.6170287597,0.6875744299,0.6343744687,0.6773273476,0.7262132482,0.6249211037,0.6415656254,0.7642648116
400137271,1.1218383838,0.7028207006,0.6882312457,0.7844017015,0.6814969489,0.7214174410,0.7988439131,0.6758674759,0.7661590608,0.8018956814,0.6540414859,0.6268916455,0.7306256347,0.6266645778,0.6515795592,0.7563678610,0.6087768577,0.6941238942,0.7858935256
400137271,1.1521313131,0.6965267693,0.6951405505,0.7217709951,0.6745567319,0.7400467414,0.8172558673,0.6946788986,0.7373995017,0.8307572934,0.6464784380,0.6341073671,0.7003002187,0.6321432184,0.6578570832,0.7290223810,0.6191022769,0.6989238669,0.7359797694
400137271,1.1824242424,0.6895557813,0.7205052183,0.7942647729,0.6842140194,0.7323260433,0.8258593066,0.6754994981,0.7590853022,0.8227371643,0.6343744687,0.6773273476,0.7262132482,0.6249211037,0.6415656254,0.7642648116,0.6170287597,0.6875744299,0.7521398378
400137271,1.2127171717,0.6814969489,0.7214174410,0.7988439131,0.6758674759,0.7661590608,0.8018956814,0.6882312457,0.7844017015,0.8538397172,0.6266645778,0.6515795592,0.7563678610,0.6087768577,0.6941238942,0.7858935256,0.6268916455,0.7306256347,0.7693586011
400137271,1.2430101010,0.6745567319,0.7400467414,0.8172558673,0.6946788986,0.7373995017,0.8307572934,0.6951405505,0.7217709951,0.8335389396,0.6321432184,0.6578570832,0.7290223810,0.6191022769,0.6989238669,0.7359797694,0.6341073671,0.7003002187,0.7662958561
400137271,1.2733030303,0.6842140194,0.7323260433,0.8258593066,0.6754994981,0.7590853022,0.8227371643,0.7205052183,0.7942647729,0.8821508249,0.6249211037,0.6415656254,0.7642648116,0.6170287597,0.6875744299,0.7521398378,0.6773273476,0.7262132482,0.7720064293
400137271,1.3035959596,0.6758674759,0.7661590608,0.8018956814,0.6882312457,0.7844017015,0.8538397172,0.7214174410,0.7988439131,0.8670658060,0.6087768577,0.6941238942,0.7858935256,0.6268916455,0.7306256347,0.7693586011,0.6515795592,0.7563678610,0.7686655044
400137271,1.3338888889,0.6946788986,0.7373995017,0.8307572934,0.6951405505,0.7217709951,0.8335389396,0.7400467414,0.8172558673,0.8182268207,0.6191022769,0.6989238669,0.7359797694,0.6341073671,0.7003002187,0.7662958561,0.6578570832,0.7290223810,0.7782113280
400137271,1.3641818182,0.6754994981,0.7590853022,0.8227371643,0.7205052183,0.7942647729,0.8821508249,0.7323260433,0.8258593066,0.8484390842,0.6170287597,0.6875744299,0.7521398378,0.6773273476,0.7262132482,0.7720064293,0.6415656254,0.7642648116,0.8082813272
400137271,1.3944747475,0.6882312457,0.7844017015,0.8538397172,0.7214174410,0.7988439131,0.8670658060,0.7661590608,0.8018956814,0.8552337311,0.6268916455,0.7306256347,0.7693586011,0.6515795592,0.7563678610,0.7686655044,0.6941238942,0.7858935256,0.8431639220
400137271,1.4247676768,0.6951405505,0.7217709951,0.8335389396,0.7400467414,0.8172558673,0.8182268207,0.7373995017,0.8307572934,0.8549895050,0.6341073671,0.7003002187,0.7662958561,0.6578570832,0.7290223810,0.7782113280,0.6989238669,0.7359797694,0.7918132841
400137271,1.4550606061,0.7205052183,0.7942647729,0.8821508249,0.7323260433,0.8258593066,0.8484390842,0.7590853022,0.8227371643,0.8064060900,0.6773273476,0.7262132482,0.7720064293,0.6415656254,0.7642648116,0.8082813272,0.6875744299,0.7521398378,0.8403989878
400137271,1.4853535354,0.7214174410,0.7988439131,0.8670658060,0.7661590608,0.8018956814,0.8552337311,0.7844017015,0.8538397172,0.8574123296,0.6515795592,0.7563678610,0.7686655044,0.6941238942,0.7858935256,0.8431639220,0.7306256347,0.7693586011,0.8097205331
400137271,1.5156464646,0.7400467414,0.8172558673,0.8182268207,0.7373995017,0.8307572934,0.8549895050,0.7217709951,0.8335389396,0.8788149356,0.6578570832,0.7290223810,0.7782113280,0.6989238669,0.7359797694,0.7918132841,0.7003002187,0.7662958561,0.8268877434
400137271,1.5459393939,0.7323260433,0.8258593066,0.8484390842,0.7590853022,0.8227371643,0.8064060900,0.7942647729,0.8821508249,0.8477895583,0.6415656254,0.7642648116,0.8082813272,0.6875744299,0.7521398378,0.8403989878,0.7262132482,0.7720064293,0.8060453401
400137271,1.5762323232,0.7661590608,0.8018956814,0.8552337311,0.7844017015,0.8538397172,0.8574123296,0.7988439131,0.8670658060,0.8526610272,0.6941238942,0.7858935256,0.8431639220,0.7306256347,0.7693586011,0.8097205331,0.7563678610,0.7686655044,0.8109464800
400137271,1.6065252525,0.7373995017,0.8307572934,0.8549895050,0.7217709951,0.8335389396,0.8788149356,0.8172558673,0.8182268207,0.8264578924,0.6989238669,0.7359797694,0.7918132841,0.7003002187,0.7662958561,0.8268877434,0.7290223810,0.7782113280,0.8577498990
400137271,1.6368181818,0.7590853022,0.8227371643,0.8064060900,0.7942647729,0.8821508249,0.8477895583,0.8258593066,0.8484390842,0.8538433624,0.6875744299,0.7521398378,0.8403989878,0.7262132482,0.7720064293,0.8060453401,0.7642648116,0.8082813272,0.8056823162
400137271,1.6671111111,0.7844017015,0.8538397172,0.8574123296,0.7988439131,0.8670658060,0.8526610272,0.8018956814,0.8552337311,0.8809206678,0.7306256347,0.7693586011,0.8097205331,0.7563678610,0.7686655044,0.8109464800,0.7858935256,0.8431639220,0.8421329206
400137271,1.6974040404,0.7217709951,0.8335389396,0.8788149356,0.8172558673,0.8182268207,0.8264578924,0.8307572934,0.8549895050,0.8309298687,0.7003002187,0.7662958561,0.8268877434,0.7290223810,0.7782113280,0.8577498990,0.7359797694,0.7918132841,0.8309029422
