Seed,arrival rate,"(BEB,5,0.50,0.50)","(BEB,5,0.50,1.00)","(BEB,5,0.50,1.50)","(BEB,5,2.00,0.50)","(BEB,5,2.00,1.00)","(BEB,5,2.00,1.50)","(BEB,5,3.50,0.50)","(BEB,5,3.50,1.00)","(BEB,5,3.50,1.50)","(BEB,10,0.50,0.50)","(BEB,10,0.50,1.00)","(BEB,10,0.50,1.50)","(BEB,10,2.00,0.50)","(BEB,10,2.00,1.00)","(BEB,10,2.00,1.50)","(BEB,10,3.50,0.50)","(BEB,10,3.50,1.00)","(BEB,10,3.50,1.50)"
400137271,1.2430101010,0.6216417357,0.7571262866,0.8780122829,0.6649255219,0.7374523658,0.8600477717,0.6613609640,0.7197847076,0.8071245503,0.6225310431,0.7515370811,0.8109998116,0.6683924024,0.7929304167,0.8297558525,0.7118668321,0.7696091255,0.8519721047
400137271,1.2733030303,0.6366821182,0.6752380506,0.8986928055,0.6823271184,0.8121447018,0.7872350661,0.7271267544,0.8531925943,0.9349074570,0.6364003282,0.7240507585,0.8682088379,0.6804053759,0.7016529658,0.8349458179,0.7144947635,0.8000092517,0.8869495877
400137271,1.3035959596,0.6512290968,0.7799250147,0.8609191011,0.6960016833,0.8295357964,0.9404556407,0.7410341032,0.8387225408,0.8616949590,0.6511132700,0.7766114332,0.8982969424,0.6905845728,0.8092111344,0.8746428250,0.7192978216,0.7751187690,0.8549875537
400137271,1.3338888889,0.6649255219,0.7374523658,0.8600477717,0.6613609640,0.7197847076,0.8071245503,0.7571262866,0.8780122829,0.8628696606,0.6683924024,0.7929304167,0.8297558525,0.7118668321,0.7696091255,0.8519721047,0.7515370811,0.8109998116,0.9249982116
400137271,1.3641818182,0.6823271184,0.8121447018,0.7872350661,0.7271267544,0.8531925943,0.9349074570,0.6752380506,0.8986928055,0.9160238691,0.6804053759,0.7016529658,0.8349458179,0.7144947635,0.8000092517,0.8869495877,0.7240507585,0.8682088379,0.9017107131
400137271,1.3944747475,0.6960016833,0.8295357964,0.9404556407,0.7410341032,0.8387225408,0.8616949590,0.7799250147,0.8609191011,0.9076439022,0.6905845728,0.8092111344,0.8746428250,0.7192978216,0.7751187690,0.8549875537,0.7766114332,0.8982969424,0.9281964480
400137271,1.4247676768,0.6613609640,0.7197847076,0.8071245503,0.7571262866,0.8780122829,0.8628696606,0.7374523658,0.8600477717,0.8702961842,0.7118668321,0.7696091255,0.8519721047,0.7515370811,0.8109998116,0.9249982116,0.7929304167,0.8297558525,0.9223657098
400137271,1.4550606061,0.7271267544,0.8531925943,0.9349074570,0.6752380506,0.8986928055,0.9160238691,0.8121447018,0.7872350661,0.8011091201,0.7144947635,0.8000092517,0.8869495877,0.7240507585,0.8682088379,0.9017107131,0.7016529658,0.8349458179,0.9349804639
400137271,1.4853535354,0.7410341032,0.8387225408,0.8616949590,0.7799250147,0.8609191011,0.9076439022,0.8295357964,0.9404556407,0.9793403132,0.7192978216,0.7751187690,0.8549875537,0.7766114332,0.8982969424,0.9281964480,0.8092111344,0.8746428250,0.9342857458
400137271,1.5156464646,0.7571262866,0.8780122829,0.8628696606,0.7374523658,0.8600477717,0.8702961842,0.7197847076,0.8071245503,0.9504924361,0.7515370811,0.8109998116,0.9249982116,0.7929304167,0.8297558525,0.9223657098,0.7696091255,0.8519721047,0.9820655188
400137271,1.5459393939,0.6752380506,0.8986928055,0.9160238691,0.8121447018,0.7872350661,0.8011091201,0.8531925943,0.9349074570,0.9760767095,0.7240507585,0.8682088379,0.9017107131,0.7016529658,0.8349458179,0.9349804639,0.8000092517,0.8869495877,0.9221771125
400137271,1.5762323232,0.7799250147,0.8609191011,0.9076439022,0.8295357964,0.9404556407,0.9793403132,0.8387225408,0.8616949590,0.9444816088,0.7766114332,0.8982969424,0.9281964480,0.8092111344,0.8746428250,0.9342857458,0.7751187690,0.8549875537,0.9210101790
400137271,1.6065252525,0.7374523658,0.8600477717,0.8702961842,0.7197847076,0.8071245503,0.9504924361,0.8780122829,0.8628696606,0.9908370479,0.7929304167,0.8297558525,0.9223657098,0.7696091255,0.8519721047,0.9820655188,0.8109998116,0.9249982116,0.9526931999
400137271,1.6368181818,0.8121447018,0.7872350661,0.8011091201,0.8531925943,0.9349074570,0.9760767095,0.8986928055,0.9160238691,0.9676340191,0.7016529658,0.8349458179,0.9349804639,0.8000092517,0.8869495877,0.9221771125,0.8682088379,0.9017107131,0.9842875647
400137271,1.6671111111,0.8295357964,0.9404556407,0.9793403132,0.8387225408,0.8616949590,0.9444816088,0.8609191011,0.9076439022,0.9751019439,0.8092111344,0.8746428250,0.9342857458,0.7751187690,0.8549875537,0.9210101790,0.8982969424,0.9281964480,0.9143544671
400137271,1.6974040404,0.7197847076,0.8071245503,0.9504924361,0.8780122829,0.8628696606,0.9908370479,0.8600477717,0.8702961842,0.9895848407,0.7696091255,0.8519721047,0.9820655188,0.8109998116,0.9249982116,0.9526931999,0.8297558525,0.9223657098,0.9866016268
400137271,1.7276969697,0.8531925943,0.9349074570,0.9760767095,0.8986928055,0.9160238691,0.9676340191,0.7872350661,0.8011091201,0.9932549965,0.8000092517,0.8869495877,0.9221771125,0.8682088379,0.9017107131,0.9842875647,0.8349458179,0.9349804639,0.9714134880
400137271,1.7579898990,0.8387225408,0.8616949590,0.9444816088,0.8609191011,0.9076439022,0.9751019439,0.9404556407,0.9793403132,0.9642380177,0.7751187690,0.8549875537,0.9210101790,0.8982969424,0.9281964480,0.9143544671,0.8746428250,0.9342857458,0.9973079475
400137271,1.7882828283,0.8780122829,0.8628696606,0.9908370479,0.8600477717,0.8702961842,0.9895848407,0.8071245503,0.9504924361,0.9218523411,0.8109998116,0.9249982116,0.9526931999,0.8297558525,0.9223657098,0.9866016268,0.8519721047,0.9820655188,0.9837712600
