Seed,arrival rate,"(3,5)","(3,10)",,,Seed,arrival rate,"(BEB,5)","(BEB,10)"
400137271,0.687181818,0.550295195,0.557576084,,,400137271,0.687181818,145689.0217,172621.6702
400137271,0.697272727,0.540555591,0.547580001,,,400137271,0.697272727,79749.06219,75329.3481
400137271,0.707363636,0.550857315,0.521861877,,,400137271,0.707363636,75243.22131,70065.43978
400137271,0.717454546,0.606001817,0.581642151,,,400137271,0.717454546,135416.5052,152601.2604
400137271,0.727545455,0.534476672,0.528885939,,,400137271,0.727545455,302152.6795,110227.9326
400137271,0.737636364,0.597643036,0.475475133,,,400137271,0.737636364,145467.2688,89257.18625
400137271,0.747727273,0.559273009,0.57310286,,,400137271,0.747727273,80963.35951,147653.2362
400137271,0.757818182,0.614140737,0.610124617,,,400137271,0.757818182,144908.8839,165221.7311
400137271,0.767909091,0.535142718,0.54518751,,,400137271,0.767909091,113005.0697,135606.9059
400137271,0.778,0.512300034,0.523472439,,,400137271,0.778,121589.2637,74948.64415
400137271,0.788090909,0.662935089,0.552589205,,,400137271,0.788090909,136484.6231,146119.9274
400137271,0.798181818,0.594656758,0.527684929,,,400137271,0.798181818,209224.1451,127552.3707
400137271,0.808272727,0.57198809,0.569548745,,,400137271,0.808272727,126151.7168,153240.0806
400137271,0.818363636,0.5738657,0.626776673,,,400137271,0.818363636,148373.4654,150403.1632
400137271,0.828454546,0.538096341,0.603241782,,,400137271,0.828454546,162430.0247,112824.0753
400137271,0.838545455,0.637719804,0.623760716,,,400137271,0.838545455,214841.7113,176243.2159
400137271,0.848636364,0.578995798,0.603723957,,,400137271,0.848636364,97166.94459,189173.4848
400137271,0.858727273,0.540175554,0.570251725,,,400137271,0.858727273,53424.18418,136699.5633
400137271,0.868818182,0.586273743,0.666755643,,,400137271,0.868818182,67430.12281,140648.9859
400137271,0.878909091,0.704319895,0.624094653,,,400137271,0.878909091,157522.8589,147758.4003
400137271,0.889,0.558670987,0.655652212,,,400137271,0.889,238162.4209,111756.3219
400137271,0.899090909,0.737302166,0.655411138,,,400137271,0.899090909,167075.3725,107235.7735
400137271,0.909181818,0.550317744,0.687760421,,,400137271,0.909181818,108164.5318,170694.8603
400137271,0.919272727,0.673762277,0.638564666,,,400137271,0.919272727,120431.9543,147626.3499
400137271,0.929363636,0.695365867,0.645019881,,,400137271,0.929363636,221063.5733,132004.6618
400137271,0.939454546,0.644306454,0.556542643,,,400137271,0.939454546,67451.32074,134627.2066
400137271,0.949545455,0.601491201,0.589057622,,,400137271,0.949545455,138434.7515,183895.2553
400137271,0.959636364,0.665315416,0.62290072,,,400137271,0.959636364,136085.1219,212742.2662
400137271,0.969727273,0.447895692,0.6235449,,,400137271,0.969727273,36361.11255,116464.0907
400137271,0.979818182,0.605557139,0.565220643,,,400137271,0.979818182,83216.51976,57048.09993
400137271,0.989909091,0.617600212,0.62452322,,,400137271,0.989909091,32075.44467,136615.1166
400137271,1,0.743594497,0.65855457,,,400137271,1,140493.2251,149794.8995
