Seed,arrival rate,"(3,5)","(5,5)","(7,5)","(5,10)","(10,10)","(20,10)"
400137271,0.2088456376,4000002.4336363035,211488.3271539969,15.2262171716,4000006.6172146299,837453.2368164475,33.1193120876
400137271,0.2155503356,4000000.7112069102,362192.0492186507,17.2510943844,4000003.1067159865,1011027.5974703570,36.3995424829
400137271,0.2222550336,4000000.2831891179,500792.8868248037,19.9003269842,4000003.4564130465,1142761.7240584462,40.4786601275
400137271,0.2289597315,4000001.4413309698,638890.5885883863,23.3577118215,4000005.5440120595,1257395.8354239736,45.0811830896
400137271,0.2356644295,4000000.5334267411,753688.7648092578,27.9811879255,4000003.7253534035,1401987.8636592056,51.2225895006
400137271,0.2423691275,4000001.9469698039,885836.0644117588,33.7154792705,4000000.4229732770,1523318.0152567569,57.1313958598
400137271,0.2490738255,4000002.7200910510,978449.6494975867,43.7294498613,4000002.2057407503,1637822.0565084107,65.6837361401
400137271,0.2557785235,4000002.0358500513,1092671.2801484766,64.5281236654,4000003.2492671418,1729008.9254782267,76.2303984759
400137271,0.2624832215,4000001.4631848307,1193529.8960715039,113.0602366899,4000007.0486201039,1841862.2247212932,87.5758012746
400137271,0.2691879195,4000002.0300689908,1288834.7430085386,8842.1815873864,4000005.0520356609,1915678.6378822380,103.4756112062
400137271,0.2758926174,4000000.5078976299,1379223.4199037233,94071.4822421040,4000001.5243902355,2024404.4082125798,126.0322008530
400137271,0.2825973154,4000000.5475159222,1465688.8892118402,179991.4208496840,4000001.6170538720,2111501.4989182963,160.8252250121
400137271,0.2893020134,4000002.2096346961,1551204.9368370164,259736.4693687648,4000005.4161652382,2181148.3031667490,215.8299404479
400137271,0.2960067114,4000001.6403956087,1619805.4503218750,344337.0764770556,4000005.0366540761,2258703.2008024496,312.9599415907
400137271,0.3027114094,4000002.6017801501,1698525.8220401353,410507.1710779688,4000001.9922934710,2339809.8069742084,577.8360882407
400137271,0.3094161074,4000003.0069212453,1777871.3028004928,488380.1339690153,4000000.3968628924,2414462.7954410478,2633.4195092806
400137271,0.3161208054,4000000.3819269529,1837198.7130645330,554506.2841101300,4000007.5994919739,2476679.5031526708,61549.0491936676
400137271,0.3228255034,4000000.6986738970,1907179.9631160458,623542.3750068097,4000004.4255707893,2542231.7895362736,113223.2097758075
400137271,0.3295302013,4000000.6744659119,1956634.0236451670,692714.6410515618,4000006.6917446852,2611215.3018458518,181378.7405530739
400137271,0.3362348993,4000001.5281230439,2023557.1028662364,740526.3189797845,4000008.3528375113,2667584.0740325833,239711.9472971526
400137271,0.3429395973,4000000.8665424832,2089096.7763024240,805730.4791227466,4000001.2326476243,2721060.9861721057,296693.5808471790
400137271,0.3496442953,4000000.6961593637,2146746.5249396372,863719.8518249082,4000005.3727474930,2788449.8297214098,358908.3381419022
400137271,0.3563489933,4000003.0274567078,2200335.3523566504,915009.0799060893,4000005.4322260502,2835640.7438463927,417275.6830446530
400137271,0.3630536913,4000002.5133855720,2249448.1268619308,964579.0151467012,4000004.5794263277,2883936.7833205578,463445.7416620575
400137271,0.3697583893,4000001.3477717438,2296200.5985592324,1011697.8663790874,4000001.0844851891,2937642.4896280272,512531.2312182441
400137271,0.3764630872,4000002.2266335515,2350356.5243073781,1067367.9219686897,4000008.4003064730,2980516.6089934353,562895.9623178301
400137271,0.3831677852,4000001.7651159847,2397125.8465355765,1109034.3615795302,4000007.1262083631,3036562.0032758592,612549.0222023026
400137271,0.3898724832,4000000.9700342878,2441960.8600293691,1159666.0801151264,4000004.1791604101,3081079.3857324538,646788.8058863475
400137271,0.3965771812,4000001.2276338926,2482984.7923746714,1199491.1089139592,4000007.1232675635,3121813.3723829244,699310.1588964388
400137271,0.4032818792,4000001.1364793354,2523300.2882097322,1242242.9573970542,4000004.1862168778,3168909.0522949393,735759.9808922359
400137271,0.4099865772,4000003.8555739904,2561127.0177387027,1279064.3809218826,4000001.2201635893,3211698.0568222259,778705.0625172686
400137271,0.4166912752,4000001.2457382069,2606880.0534967296,1314629.1278864082,4000008.1619228255,3251544.5389320203,817411.8652266666
400137271,0.4233959732,4000003.6332037863,2639954.7981705004,1357105.1688758971,4000000.8441691655,3276402.0251433155,857985.1679292264
400137271,0.4301006711,4000001.3642356526,2672542.3148949100,1388324.7978967594,4000008.9291625442,3319331.5286167474,886421.4726717969
400137271,0.4368053691,4000001.1713210442,2710256.5488251466,1431847.6555609356,4000003.3992630919,3346495.6620487818,926922.8317280228
400137271,0.4435100671,4000001.7861627759,2755740.2171163075,1461846.4850565614,4000000.6348835994,3393167.4155790037,964147.0987066508
400137271,0.4502147651,4000001.7023839415,2776040.0406961287,1492871.5556954232,4000004.5371324630,3420108.3945968775,998662.5578231001
400137271,0.4569194631,4000001.5873477375,2808431.9851034787,1536512.8459332611,4000003.2164597609,3460652.1803046255,1028583.5380035893
400137271,0.4636241611,4000002.9226951543,2842920.7810601303,1566175.5258603005,4000005.6821809956,3496775.5486419811,1054473.2417827935
400137271,0.4703288591,4000004.0635024202,2880445.2824978540,1594861.8764982370,4000003.2184262145,3518697.0390497930,1092810.6229185814
400137271,0.4770335570,4000003.6754947691,2898988.8807499232,1625036.7890522995,4000001.2852846612,3548961.8306937651,1125191.5270672019
400137271,0.4837382550,4000002.4054939426,2926939.5777682401,1652184.1850949831,4000005.8264974286,3581322.9409509911,1157043.9849265376
400137271,0.4904429530,4000002.6432085172,2958467.3832222028,1676320.5405924285,4000005.3620644528,3604247.7604056909,1169008.9844139698
400137271,0.4971476510,4000002.0030179555,2995836.3774325550,1710384.1769074062,4000005.0633263635,3629304.8795318888,1205012.7635172997
400137271,0.5038523490,4000003.5317654302,3016255.6210382399,1730634.2565736885,4000000.3666573060,3658108.9864288084,1227513.3535375595
400137271,0.5105570470,4000001.3376125712,3037726.3963858308,1765060.4628443301,4000002.1833834937,3695196.0612901142,1262505.1142248863
400137271,0.5172617450,4000001.8460328216,3074427.2627978921,1789267.3106156229,4000000.7280688174,3710543.0437630592,1287791.7517361999
400137271,0.5239664430,4000002.2398944069,3090079.7958536767,1813947.0197152500,4000007.2525000619,3739135.4086558972,1311112.9188418740
400137271,0.5306711409,4000002.1958585428,3120017.6556052463,1836623.0470629171,4000008.2528821705,3758703.4865727853,1331543.5406389795
400137271,0.5373758389,4000000.4062217441,3137720.8528440641,1854718.5617852868,4000006.4029712030,3784912.6615302479,1352896.3986538500
400137271,0.5440805369,4000001.2908550357,3159262.9865950951,1878785.5317317632,4000004.2489625155,3803413.3117201473,1377294.0576167947
400137271,0.5507852349,4000002.4016868677,3183802.9495583568,1905262.0647991386,4000004.4720845786,3828042.0208168309,1399715.3356586013
400137271,0.5574899329,4000000.9621024821,3211337.3273357023,1925911.1453382573,4000006.2729294333,3849789.2252795468,1427128.8384265387
400137271,0.5641946309,4000003.1824284815,3233862.1094614798,1949842.2630079698,4000002.3420616384,3873297.7681738194,1443060.2469212757
400137271,0.5708993289,4000003.6440127343,3251337.4751234301,1965142.9721149909,4000008.8275373220,3893334.2019914687,1464009.7391826517
400137271,0.5776040268,4000003.4856463280,3276959.7646949287,1988910.9670912242,4000003.5681728045,3914592.6710643717,1488671.2457784349
400137271,0.5843087248,4000004.2317846557,3289242.8325199476,2007326.0731146906,4000008.9507569703,3931277.4600076275,1508595.7767320955
400137271,0.5910134228,4000001.0774401762,3311935.0592891569,2022094.6992303908,4000000.3758435510,3954702.1690782113,1524748.3221101204
400137271,0.5977181208,4000001.3465184798,3334285.9469681885,2047536.7762703912,4000009.2799063060,3961862.0621421030,1540789.7216650189
400137271,0.6044228188,4000004.4436984845,3345016.0104963756,2064657.5582704565,4000002.9951978228,3990416.5648785806,1561511.9788108950
400137271,0.6111275168,4000003.2736746497,3365986.1381890415,2091509.8093478822,4000000.2985701174,4000000.4506717180,1579508.5785321058
400137271,0.6178322148,4000002.1308918633,3381511.7197299935,2102637.7580173318,4000003.9349615574,4000001.2020862401,1596958.9704741032
400137271,0.6245369128,4000003.1907856790,3412634.7553410186,2119233.2723595360,4000002.8408528240,4000000.1773989755,1613489.0349212072
400137271,0.6312416107,4000000.0648473874,3427249.6478112768,2134180.1849927520,4000005.5734602236,4000001.8221674450,1622572.7181167400
400137271,0.6379463087,4000003.3963657785,3437350.1176645872,2155576.7971119494,4000007.5660867714,4000001.0675555281,1650065.2344675476
400137271,0.6446510067,4000001.0734807644,3461451.2653345750,2170627.2671980788,4000009.2296703253,4000001.8747951472,1665379.2983169965
400137271,0.6513557047,4000002.3675410673,3459315.3113457467,2180877.2288691434,4000006.8582178769,4000000.2831791681,1684367.6675348650
400137271,0.6580604027,4000003.6313688396,3478599.8773750733,2197288.5921310787,4000008.9266002746,4000000.6918056845,1701302.3919030961
400137271,0.6647651007,4000002.2401739471,3503224.4971318427,2220788.3886366808,4000007.6810141788,4000002.0253895014,1710863.2714918992
400137271,0.6714697987,4000003.0056259222,3513998.0334149576,2228827.4714291338,4000005.1828544401,4000000.7817514041,1728343.6015606094
400137271,0.6781744966,4000003.2899524192,3533783.4405598496,2248175.1115160407,4000008.6240915405,4000001.3109840183,1741406.8627636828
400137271,0.6848791946,4000003.1569471555,3546509.7310388605,2258827.1329443599,4000008.8175654379,4000001.8629033598,1758938.4046663838
400137271,0.6915838926,4000001.9251579023,3557159.2590564187,2275245.1838660040,4000002.4709162894,4000001.6031460445,1770989.4374953113
400137271,0.6982885906,4000001.4180747694,3563831.9303006916,2286390.1012779828,4000002.1266977196,4000000.8201013049,1788198.9321722314
400137271,0.7049932886,4000003.1324800430,3575864.9063054733,2308516.6722206576,4000008.1786818695,4000001.5874358872,1799325.0676694259
400137271,0.7116979866,4000003.3283829056,3593272.4914717111,2315226.5095437132,4000008.5215947423,4000000.3507348918,1811507.4921822113
