Seed,arrival rate,"(3,5)","(3,10)",,Seed,arrival rate,"(3,5)","(3,10)",,Theory
400137271,0.212909091,0.301223776,0.319062309,,400137271,0.212909091,0.212501297,0.213042541,,0.222879141
400137271,0.223,0.322592218,0.341430924,,400137271,0.223,0.223176627,0.222829922,,0.233643588
400137271,0.233090909,0.343397699,0.366643806,,400137271,0.233090909,0.232985751,0.233192735,,0.243591234
400137271,0.243181818,0.367278192,0.393459979,,400137271,0.243181818,0.243216095,0.243191178,,0.254383097
400137271,0.253272727,0.389543193,0.421579277,,400137271,0.253272727,0.253139981,0.253222363,,0.263863404
400137271,0.263363636,0.415197726,0.450797931,,400137271,0.263363636,0.263305482,0.263376855,,0.274117577
400137271,0.273454546,0.441208176,0.482543732,,400137271,0.273454546,0.273665503,0.273503269,,0.283811034
400137271,0.283545455,0.46344895,0.511226884,,400137271,0.283545455,0.283722947,0.283225994,,0.291560429
400137271,0.293636364,0.492497854,0.545218068,,400137271,0.293636364,0.294006102,0.293344217,,0.300964479
400137271,0.303727273,0.517364748,0.563349071,,400137271,0.303727273,0.303956193,0.303969481,,0.308395604
400137271,0.313818182,0.540619981,0.587211567,,400137271,0.313818182,0.313959278,0.313507892,,0.314850087
400137271,0.323909091,0.557042252,0.55493796,,400137271,0.323909091,0.323931457,0.320796566,,0.319130095
400137271,0.334,0.571967199,0.563431769,,400137271,0.334,0.333566337,0.331347226,,0.322826313
400137271,0.344090909,0.561581893,0.549343076,,400137271,0.344090909,0.343734805,0.332537764,,0.320273628
400137271,0.354181818,0.552588119,0.578918905,,400137271,0.354181818,0.354328089,0.34158256,,0.317991545
400137271,0.364272727,0.572324296,0.601181783,,400137271,0.364272727,0.364322887,0.352087984,,0.322912531
400137271,0.374363636,0.57412318,0.603773554,,400137271,0.374363636,0.371441849,0.367201003,,0.3233453
400137271,0.384454546,0.533197738,0.597973802,,400137271,0.384454546,0.382861448,0.380279666,,0.312840854
400137271,0.394545455,0.572036124,0.606037139,,400137271,0.394545455,0.394015831,0.389740009,,0.322842962
400137271,0.404636364,0.581600731,0.57530315,,400137271,0.404636364,0.401496311,0.401684335,,0.325116458
400137271,0.414727273,0.556944333,0.575128024,,400137271,0.414727273,0.38660125,0.402068496,,0.319105242
400137271,0.424818182,0.579952775,0.606784409,,400137271,0.424818182,0.388198328,0.385197577,,0.324729946
400137271,0.434909091,0.605777589,0.601691163,,400137271,0.434909091,0.423187147,0.417565028,,0.330542523
400137271,0.445,0.564241586,0.612090769,,400137271,0.445,0.438454307,0.419813327,,0.320935741
400137271,0.455090909,0.550023076,0.604642759,,400137271,0.455090909,0.432707436,0.407965189,,0.317328387
400137271,0.465181818,0.574241978,0.60359228,,400137271,0.465181818,0.439820177,0.422731331,,0.323373788
400137271,0.475272727,0.543843345,0.601942599,,400137271,0.475272727,0.408711478,0.422478119,,0.315708049
400137271,0.485363636,0.575974515,0.597822163,,400137271,0.485363636,0.474657457,0.427332668,,0.323787974
400137271,0.495454546,0.571370559,0.595866879,,400137271,0.495454546,0.459872976,0.47695602,,0.322682028
400137271,0.505545455,0.60097619,0.582369145,,400137271,0.505545455,0.491141282,0.458243024,,0.329500913
400137271,0.515636364,0.564785253,0.582656109,,400137271,0.515636364,0.469075937,0.461646912,,0.321070371
400137271,0.525727273,0.565552997,0.560664918,,400137271,0.525727273,0.454396667,0.441456621,,0.321260079
400137271,0.535818182,0.567065806,0.597194497,,400137271,0.535818182,0.455381272,0.487745404,,0.321632488
400137271,0.545909091,0.556805032,0.602781163,,400137271,0.545909091,0.451241943,0.462548843,,0.319069872
400137271,0.556,0.595198928,0.582576389,,400137271,0.556,0.487239754,0.465286503,,0.328224148
400137271,0.566090909,0.567423235,0.596169161,,400137271,0.566090909,0.471513989,0.473324431,,0.321720204
400137271,0.576181818,0.615345617,0.613884414,,400137271,0.576181818,0.505482113,0.510787988,,0.332566045
400137271,0.586272727,0.627016946,0.582243919,,400137271,0.586272727,0.534661178,0.480186121,,0.334941745
400137271,0.596363636,0.576480415,0.58748968,,400137271,0.596363636,0.378979446,0.489700015,,0.323908462
400137271,0.606454546,0.581708334,0.590330213,,400137271,0.606454546,0.524380442,0.488006882,,0.325141621
400137271,0.616545455,0.618800238,0.616483968,,400137271,0.616545455,0.522929926,0.508118961,,0.333279763
400137271,0.626636364,0.63632301,0.614344355,,400137271,0.626636364,0.533441373,0.508890953,,0.336764308
400137271,0.636727273,0.613538021,0.605819808,,400137271,0.636727273,0.512470616,0.52389427,,0.332189044
400137271,0.646818182,0.610998936,0.583391921,,400137271,0.646818182,0.516158872,0.506195138,,0.331655335
400137271,0.656909091,0.579783488,0.626381714,,400137271,0.656909091,0.535500786,0.551124554,,0.32469012
400137271,0.667,0.614629077,0.646003685,,400137271,0.667,0.572615158,0.585085199,,0.332416893
400137271,0.677090909,0.609430932,0.647641957,,400137271,0.677090909,0.54918085,0.590654975,,0.331323318
400137271,0.687181818,0.608995734,0.638875696,,400137271,0.687181818,0.550295195,0.557576084,,0.331230838
400137271,0.697272727,0.632260307,0.616698287,,400137271,0.697272727,0.540555591,0.547580001,,0.335976387
400137271,0.707363636,0.596611524,0.601353444,,400137271,0.707363636,0.550857315,0.521861877,,0.328538708
400137271,0.717454546,0.662400588,0.649743722,,400137271,0.717454546,0.606001817,0.581642151,,0.341541742
400137271,0.727545455,0.589377581,0.596212061,,400137271,0.727545455,0.534476672,0.528885939,,0.326911487
400137271,0.737636364,0.625869716,0.596146918,,400137271,0.737636364,0.597643036,0.475475133,,0.334712687
400137271,0.747727273,0.60339965,0.628253695,,400137271,0.747727273,0.559273009,0.57310286,,0.330028857
400137271,0.757818182,0.656159632,0.661621575,,400137271,0.757818182,0.614140737,0.610124617,,0.340441896
400137271,0.767909091,0.588193021,0.596660843,,400137271,0.767909091,0.535142718,0.54518751,,0.326641141
400137271,0.778,0.570669451,0.621746014,,400137271,0.778,0.512300034,0.523472439,,0.322512113
400137271,0.788090909,0.705121626,0.623066984,,400137271,0.788090909,0.662935089,0.552589205,,0.348364269
400137271,0.798181818,0.649328906,0.624351531,,400137271,0.798181818,0.594656758,0.527684929,,0.339206976
400137271,0.808272727,0.611411797,0.620538735,,400137271,0.808272727,0.57198809,0.569548745,,0.331742448
400137271,0.818363636,0.630674388,0.672447382,,400137271,0.818363636,0.5738657,0.626776673,,0.335665563
400137271,0.828454546,0.621739651,0.643620373,,400137271,0.828454546,0.538096341,0.603241782,,0.333880047
400137271,0.838545455,0.687502125,0.659680601,,400137271,0.838545455,0.637719804,0.623760716,,0.345697044
400137271,0.848636364,0.623251921,0.650406912,,400137271,0.848636364,0.578995798,0.603723957,,0.334186388
400137271,0.858727273,0.60850182,0.628567947,,400137271,0.858727273,0.540175554,0.570251725,,0.331125707
400137271,0.868818182,0.646858099,0.714607362,,400137271,0.868818182,0.586273743,0.666755643,,0.338752194
400137271,0.878909091,0.727315235,0.664979718,,400137271,0.878909091,0.704319895,0.624094653,,0.351442024
400137271,0.889,0.637495553,0.703513512,,400137271,0.889,0.558670987,0.655652212,,0.336989492
400137271,0.899090909,0.770242614,0.687028827,,400137271,0.899090909,0.737302166,0.655411138,,0.356545883
400137271,0.909181818,0.613527241,0.710532168,,400137271,0.909181818,0.550317744,0.687760421,,0.332186788
400137271,0.919272727,0.696063135,0.672377304,,400137271,0.919272727,0.673762277,0.638564666,,0.347018201
400137271,0.929363636,0.735279868,0.678339028,,400137271,0.929363636,0.695365867,0.645019881,,0.352472051
400137271,0.939454546,0.678797467,0.608689575,,400137271,0.939454546,0.644306454,0.556542643,,0.344304119
400137271,0.949545455,0.666662773,0.643756924,,400137271,0.949545455,0.601491201,0.589057622,,0.342277413
400137271,0.959636364,0.703108658,0.658136967,,400137271,0.959636364,0.665315416,0.62290072,,0.348069713
400137271,0.969727273,0.547865562,0.673414774,,400137271,0.969727273,0.447895692,0.6235449,,0.316766329
400137271,0.979818182,0.662437121,0.642107042,,400137271,0.979818182,0.605557139,0.565220643,,0.341548101
400137271,0.989909091,0.675178462,0.664200429,,400137271,0.989909091,0.617600212,0.62452322,,0.343710104
400137271,1,0.754686696,0.68723528,,400137271,1,0.743594497,0.65855457,,0.354821908
