Seed,arrival rate,"(BEB,5,1.00,0.50)","(BEB,5,1.00,0.75)","(BEB,5,1.00,1.00)","(BEB,5,1.00,1.25)","(BEB,5,1.00,1.50)","(BEB,5,1.00,2.00)","(BEB,5,1.00,3.00)","(BEB,10,1.00,0.50)","(BEB,10,1.00,0.75)","(BEB,10,1.00,1.00)","(BEB,10,1.00,1.25)","(BEB,10,1.00,1.50)","(BEB,10,1.00,2.00)","(BEB,10,1.00,3.00)"
400137271,0.9293061224,375589.5479413840,356031.4554830592,145688.3635372578,72942.2379779476,11352.3722826025,22907.2219302717,55.4452668083,468158.2627762822,180500.6499731167,153946.2075929396,108676.5650459142,71252.2429232815,30087.3266307239,244.4135375588
400137271,1.0007142857,329725.6667495308,270299.7521326398,141991.7831255986,222976.6046965914,54842.7654011830,57577.8544911544,2227.3481106472,420302.9043844190,257935.2025007189,123009.6084048910,113003.0450357051,73606.2077236350,14484.3496820309,21195.4209000318
400137271,1.0721224490,412201.2675906068,294589.9152467655,216699.1205990206,90282.0536595037,100454.3634498257,53652.2943172441,34999.6882692233,473165.9658641998,265934.1459728797,80570.0918909358,90405.7986488728,85415.9428854336,26141.7986170133,33560.6194085603
400137271,1.1435306122,275138.4979657045,166002.1457215270,84528.9160224908,129390.7104927290,88856.7110941803,59102.6589032115,64231.8410117185,377020.8565164147,263733.4778449932,160324.8206676649,143228.0183055046,56451.4602005532,45911.2681346074,59714.2675167873
400137271,1.2149387755,649842.8686148217,345987.2577957450,100980.5222810338,211120.1018160725,54989.0771772155,40043.8124861350,86747.5691864819,415317.7286334796,309042.2220725486,127610.5673887416,140534.9048831281,56628.7453136210,91743.2514972576,87438.2594704414
400137271,1.2863469388,508102.5946114215,206176.0655522910,128814.9684439522,61365.4693902838,151532.1495683239,85452.6739033404,111642.9763146426,343703.8976567773,302050.2814933863,215493.7597673468,126207.8842786945,124067.1741347009,64452.0088582181,83906.8958142249
400137271,1.3577551020,475165.4765385097,222713.0506073466,198890.5700165858,152647.6033666000,46975.4679738555,46157.6638608599,132771.8798669589,292059.6184567384,293929.3284248509,160614.5052397989,139045.2521698246,82288.8096906749,104070.0743253406,130493.1446896306
400137271,1.4291632653,412666.6680173539,244940.0702308094,154047.6790511074,78207.9137329645,112479.3895778105,94105.2683325556,82242.2290402798,267792.7641663133,270604.2547577691,172628.4042182601,162059.1294203865,153376.8394385101,88295.6058766593,148582.6125937309
400137271,1.5005714286,314880.7600689777,219199.9063679452,224956.0575794294,163436.7432440617,49743.3081440354,142189.3137967526,160844.2016043584,460092.3246276110,263845.6700551845,192416.2369895070,133920.7936652653,143696.6492891628,94731.0132484739,138057.5850731594
400137271,1.5719795918,297467.1113312223,254832.5679796762,146702.5739134242,121864.6824256444,90473.6287510098,99231.4457284809,172480.3958125654,487565.0185106742,269554.8893143923,174278.9571676112,115361.3326686774,101642.0551480360,136086.7131569655,165237.1642789230
