Seed,arrival rate,"(3,5,1.00,0.50)","(3,5,1.00,0.75)","(3,5,1.00,1.00)","(3,5,1.00,1.25)","(3,5,1.00,1.50)","(3,5,1.00,2.00)","(3,5,1.00,3.00)","(5,5,1.00,0.50)","(5,5,1.00,0.75)","(5,5,1.00,1.00)","(5,5,1.00,1.25)","(5,5,1.00,1.50)","(5,5,1.00,2.00)","(5,5,1.00,3.00)","(7,5,1.00,0.50)","(7,5,1.00,0.75)","(7,5,1.00,1.00)","(7,5,1.00,1.25)","(7,5,1.00,1.50)","(7,5,1.00,2.00)","(7,5,1.00,3.00)","(5,10,1.00,0.50)","(5,10,1.00,0.75)","(5,10,1.00,1.00)","(5,10,1.00,1.25)","(5,10,1.00,1.50)","(5,10,1.00,2.00)","(5,10,1.00,3.00)","(10,10,1.00,0.50)","(10,10,1.00,0.75)","(10,10,1.00,1.00)","(10,10,1.00,1.25)","(10,10,1.00,1.50)","(10,10,1.00,2.00)","(10,10,1.00,3.00)","(20,10,1.00,0.50)","(20,10,1.00,0.75)","(20,10,1.00,1.00)","(20,10,1.00,1.25)","(20,10,1.00,1.50)","(20,10,1.00,2.00)","(20,10,1.00,3.00)"
400137271,1.0721224490,3108803.5713436403,1598341.0606010749,965142.0541191906,608767.4173366760,392866.1549130206,140668.8454904963,34118.3736000648,2546064.3756240527,1326871.8916137868,790571.4855738572,495968.3963140241,310399.0811312229,94238.8713187539,33207.9752402518,2273061.2039785343,1194516.1164905843,715185.2543927183,446160.3895439794,274238.7424397391,72443.9884852911,34307.0539216174,5000001.9168221764,2264644.4325230587,1251027.0894256113,772035.2883814673,491147.6239222904,189770.3954481675,33828.1217631985,2972461.4621318756,1449067.7591478226,850136.6881892836,529512.0818196156,332610.1089359090,106910.5910672556,35188.4687698759,2165923.4947907464,1133477.3604358120,676980.5229960319,427713.2695527765,263986.5175504629,70179.4793152678,32938.5525918749
400137271,1.1435306122,3133986.5726270033,1628498.0757063895,990199.0782503659,638149.4708491706,420759.0121684583,168786.1859129521,62432.0025917303,2577503.8312836438,1354191.8494611904,820095.1719750280,527784.9979529538,340357.8367233668,124041.6681344102,62225.0399636163,2303092.9298637998,1222222.5594985364,743143.6616358524,474511.3253492439,303873.0571011365,101045.1478203347,63246.7681578479,5000003.5360012436,2295687.9158747685,1282308.3482259000,800577.6934036211,522492.5380252743,219431.8264585736,61920.9789560348,3006632.6724483538,1482417.1241633839,877617.6703130781,557056.5813251577,363097.3369650305,136066.3218003607,62450.0773788700,2190263.6463202159,1165165.0454884544,707482.5555039237,454756.6257909199,291058.0350992927,96402.0974548316,61917.6605725484
400137271,1.2149387755,3167870.4105079891,1652260.0419353561,1015651.7680125097,663827.7186406383,446913.7706957966,194857.8977467244,88465.9861664958,2605230.0007490441,1379476.3272841172,845234.6530629186,553088.4811098370,366983.7550695890,148598.6240397389,89291.5474824854,2328618.7984848586,1249513.3494965867,766822.0090317391,499102.8817130039,329206.2065052246,126897.5959410473,88391.6203675076,5000002.0760900406,2320366.1310298871,1304548.4745569280,822396.9638166416,547378.8449324977,244989.2026144623,87830.6660643988,3026529.9915912366,1506552.4602641081,903829.8743758016,585584.3665378675,388759.6771269845,161570.4995498164,88213.9366921380,2219507.5185398716,1188544.4118049855,733703.1110526362,480313.3178292962,318455.9221364456,124532.7656320214,88723.7694021942
400137271,1.2863469388,3188042.0703363880,1679363.7643579673,1038125.1541208990,685691.5337429261,469098.2826362618,217591.2992281592,111900.1447153560,2626311.0451992843,1405615.4267821314,869133.9037874322,575129.7312527129,387540.6691637702,170095.5383846780,111501.1680509773,2349364.7280464596,1273056.4074752331,791234.5066322268,522318.5408870144,352237.4870323613,148675.4501134126,111095.5311740446,5000001.2271011360,2340330.2867801292,1329202.7553572583,848043.3075825250,568220.0915997651,269957.9509556674,111957.6320122574,3053706.1697922274,1527147.8477016995,928752.1035181435,608495.3455635783,411303.4572481292,185080.7526134796,112057.0050400854,2238548.0457629287,1210407.4965301440,755629.5597557012,502286.8631083103,340849.8490107283,146293.2524025747,110391.0847083323
400137271,1.3577551020,3212096.9907449768,1696928.8065615820,1060217.8181981321,706660.8263123184,491539.6186317032,238314.1372589073,131571.8949243685,2646102.1135910694,1427497.1969116530,889718.4016645621,593882.0633681295,410564.0242935197,191725.5390155036,131452.0991932808,2373405.9923904696,1292775.8889154140,813330.2062462086,543874.1198785943,374781.2905672591,170757.8912069135,131793.5348749475,5000005.3046878707,2363058.7676513842,1350624.8584560340,866726.0263885384,589458.9522052956,289201.1984450133,131520.3097144064,3067032.0412564478,1549872.2571479951,947517.8704100135,625584.6106149355,431397.0163528515,204336.6616570985,131304.5744299487,2261528.8974780431,1230943.4979453911,782556.2153066257,523572.2463102826,361983.1874398584,166504.8874740188,131624.6470703711
400137271,1.4291632653,3224944.8100889786,1714109.3239802881,1078210.9471382885,725649.6171574114,509617.2851181960,257437.7767223269,152392.2030180369,2663204.0302165607,1441903.0355770730,907049.8793291177,612574.3534179798,428519.3023856961,209619.6052669346,150840.9624259338,2389994.1248649205,1310997.1647424006,829405.0529291109,561964.8637368532,390178.9296307350,187232.0673210126,148845.6178760338,5000005.0926942714,2384446.7520454647,1366737.9947064570,885871.2974201295,607200.4515281215,307441.8297202880,149437.0710183094,3090143.8572057048,1567003.1733776224,965829.7476186524,645765.1199285084,450697.4655047149,223414.9965194485,149177.5086939555,2281571.0513041290,1254891.4463610295,798006.1415121566,541023.4663398785,377744.0102185103,183913.6051284288,150284.8677151373
400137271,1.5005714286,3241176.4494437999,1730716.3764199938,1095424.0974024993,742213.8222879187,526046.8631076945,272797.8543856009,166726.5347416804,2676845.5432749027,1459432.0903458605,925297.5425689433,630671.1853211221,444338.2997562889,226044.7884450899,166910.5495658563,2403628.7531328746,1325498.4849651572,846668.6031153151,577336.6147900245,408325.5141390684,203547.9584026852,166725.2610034912,5000003.6855437336,2395741.8540541371,1386038.5691199584,902743.9969830916,626901.1134705330,324538.8777996889,166160.6592969926,3100876.8630530951,1586767.0885988502,983092.2063252938,665614.5475394479,466206.1097518286,240229.2010622781,165814.2104144413,2295171.9806579845,1268199.9533397534,811910.6266106999,558835.8779571049,397361.6490787267,200847.6473699785,166614.4056531176
400137271,1.5719795918,3259907.7909340449,1747143.3464103611,1109256.4519471652,757816.2671880428,539339.1213559400,289087.8040741514,181673.8843033451,2694516.9702305766,1473489.7734260655,939737.5240427764,645095.5079678923,459163.6593262823,240213.9594698030,181469.0134518761,2418841.9997911882,1342968.9129669722,861808.6936932743,593297.6535513641,422359.1902651804,220252.7988054091,181823.8003867714,5000004.8768195398,2414313.1106468611,1398833.1713272147,918479.9137239973,640125.9942998345,340004.8862482040,181566.2145182346,3117049.1285550785,1598902.0396345458,997808.0071962066,678666.3768017241,481593.1918076682,254537.2054022108,181239.4846213390,2314900.7763386569,1278828.2293378955,830045.8962284923,572719.7039229361,413017.3828738123,216508.2110092708,182303.5191697174
400137271,1.6433877551,3276016.1512004989,1760998.1915800390,1124818.2996415813,771262.5508170654,555262.8422295555,303126.9108099856,195751.4810650019,2709507.8092515124,1488889.8202653707,953251.1989532888,660028.4782704066,473593.0974122001,254883.7869336972,196396.1556099924,2435075.3204223649,1356081.0532470827,878012.6398853379,608189.4469403661,435602.0261462279,234165.9558063881,197212.5479938652,5000004.0977116823,2430133.6045765365,1415516.7036048088,931131.6584591061,654502.8328740847,352569.6496207450,196825.1181304780,3130939.6427433635,1613284.2320404295,1009971.4784494601,691963.2006689245,496880.9432101374,267478.1526471807,196541.4094368926,2327013.4821734754,1294410.6636788920,842028.6645394325,587128.0812315916,424317.6760069185,228938.5295859145,195952.7944989692
400137271,1.7147959184,3284850.8418155871,1770468.1375256432,1136098.9375294582,782775.8967053565,566731.4441619853,315836.0885103944,208343.9752611399,2715545.5823516613,1502164.0683767912,966011.6373224306,670020.1683888661,486681.4615155254,267722.7023536705,209161.4549973777,2447045.3273698259,1371188.1306582694,888721.8226298782,618731.0568031819,448548.5602893253,246852.8591261446,208993.6016620885,5000004.1634847177,2443409.5133498590,1423142.4866558823,943723.0029027446,666149.9475840810,365671.5612323793,209159.9942154106,3145421.4942114190,1627429.8133347640,1026464.2435450077,703352.5411042018,509076.5152562648,280810.7884771569,208332.5593797202,2338237.2351043541,1308064.2283534717,856313.6313732191,601749.0176522742,439873.0741381659,242602.5199318944,209517.6696532097
