Seed,arrival rate,"(BEB,5,1.00,0.50)","(BEB,5,1.00,0.75)","(BEB,5,1.00,1.00)","(BEB,5,1.00,1.25)","(BEB,5,1.00,1.50)","(BEB,5,1.00,2.00)","(BEB,5,1.00,3.00)","(BEB,10,1.00,0.50)","(BEB,10,1.00,0.75)","(BEB,10,1.00,1.00)","(BEB,10,1.00,1.25)","(BEB,10,1.00,1.50)","(BEB,10,1.00,2.00)","(BEB,10,1.00,3.00)",,,Seed,arrival rate,"(BEB,5,1.00,0.50)","(BEB,5,1.00,0.75)","(BEB,5,1.00,1.00)","(BEB,5,1.00,1.25)","(BEB,5,1.00,1.50)","(BEB,5,1.00,2.00)","(BEB,5,1.00,3.00)","(BEB,10,1.00,0.50)","(BEB,10,1.00,0.75)","(BEB,10,1.00,1.00)","(BEB,10,1.00,1.25)","(BEB,10,1.00,1.50)","(BEB,10,1.00,2.00)","(BEB,10,1.00,3.00)"
400137271,0.715081633,0.335180051,0.539696222,0.600624021,0.752605374,0.855452589,1.055025641,0.963228076,0.37598583,0.514806825,0.628173391,0.733554487,0.900681138,1.100982989,1.018958347,,,400137271,0.715081633,0.330667603,0.498611835,0.550371404,0.594449284,0.655361796,0.703979938,0.714538642,0.3605108,0.472200736,0.558610163,0.576485299,0.621658715,0.710038334,0.715653367
400137271,0.786489796,0.380556242,0.444261603,0.578649606,0.764005533,0.814080965,1.070738334,1.105843711,0.395840694,0.529359652,0.625855023,0.775172577,0.894393327,1.152712628,1.175403338,,,400137271,0.786489796,0.38008891,0.439111683,0.504851967,0.685551063,0.665114576,0.777398901,0.787174625,0.385943632,0.513657722,0.535355456,0.680905282,0.740309302,0.761188413,0.786107278
400137271,0.857897959,0.388564894,0.527133803,0.585239385,0.744735441,0.866686208,1.087208439,1.254917634,0.353009851,0.51928556,0.617868742,0.757880133,0.891511562,1.091056287,1.358417191,,,400137271,0.857897959,0.388473775,0.493626466,0.50534028,0.655799508,0.660834432,0.760234027,0.857494664,0.339734745,0.501778584,0.574961707,0.637353995,0.720423668,0.790004061,0.859093668
400137271,0.929306122,0.362091249,0.494779776,0.692731098,0.86338474,0.839410585,1.110615095,1.409523459,0.417434833,0.51491479,0.681014831,0.759555389,0.876357627,1.194182084,1.539324807,,,400137271,0.929306122,0.362423,0.482071181,0.622187701,0.821606865,0.628099183,0.896462382,0.927870169,0.408209106,0.47792806,0.648489634,0.694568057,0.738158816,0.891977466,0.929412882
400137271,1.000714286,0.408898014,0.573400737,0.671925052,0.750189307,0.844582736,1.132294948,1.488860907,0.435869082,0.536213721,0.700208558,0.818001711,0.942928939,1.136365284,1.544146297,,,400137271,1.000714286,0.409312897,0.57199152,0.594163954,0.662192346,0.771485637,0.859007204,0.994309288,0.43340767,0.513357456,0.672918743,0.727024836,0.796765533,0.832554347,0.966676818
400137271,1.072122449,0.421217734,0.642746113,0.720214787,0.819336411,0.934848748,1.097426828,1.586105857,0.431187033,0.560617086,0.648627913,0.784700587,0.92880995,1.135716903,1.687934746,,,400137271,1.072122449,0.421001232,0.636759658,0.718001314,0.733511198,0.849697634,0.974107487,0.999906291,0.427641524,0.550780447,0.609241124,0.721438028,0.841436749,0.90299018,0.999947239
400137271,1.143530612,0.38102505,0.611579693,0.695435433,0.898311799,0.987941822,1.153178271,1.493226921,0.408354735,0.549622069,0.695268325,0.867484552,0.931390294,1.206864978,1.675808096,,,400137271,1.143530612,0.380704151,0.609323234,0.657349509,0.862170943,0.89964886,0.982771431,0.998740867,0.405505907,0.530771895,0.676490416,0.83609666,0.811396493,0.986651406,0.999829139
400137271,1.214938776,0.332981621,0.53660644,0.695388603,0.831127614,0.937969536,1.153944993,1.524641275,0.39977576,0.621502334,0.683845487,0.891531823,0.942224099,1.204280261,1.687667219,,,400137271,1.214938776,0.332862171,0.536837013,0.682221377,0.764093328,0.878744372,0.919397248,0.999990543,0.396274422,0.61475769,0.655191044,0.841784488,0.820224196,0.987277132,0.999983102
400137271,1.286346939,0.436396245,0.562321989,0.632391748,0.898657843,1.011099905,1.115779339,1.638826356,0.389242404,0.560948439,0.753180063,0.8615882,1.022308258,1.223770681,1.673175653,,,400137271,1.286346939,0.43564446,0.562096685,0.611574879,0.835659819,0.910665873,0.978668245,0.999990677,0.388367835,0.528456419,0.73113109,0.819783192,0.902681918,0.963670097,0.999997269
400137271,1.357755102,0.456601638,0.623966411,0.814354158,0.856500529,0.953759319,1.166740723,1.573847965,0.420548775,0.580533087,0.648394901,0.892938197,0.976445745,1.301780795,1.733886211,,,400137271,1.357755102,0.457069919,0.623694154,0.812468161,0.786417944,0.874561116,0.906792138,0.99998534,0.418838825,0.548710965,0.634468894,0.85953152,0.925967255,0.999339112,0.999997612
