Seed,arrival rate,"(BEB,5,1.00,0.50)","(BEB,5,1.00,0.75)","(BEB,5,1.00,1.00)","(BEB,5,1.00,1.25)","(BEB,5,1.00,1.50)","(BEB,5,1.00,2.00)","(BEB,5,1.00,3.00)","(BEB,10,1.00,0.50)","(BEB,10,1.00,0.75)","(BEB,10,1.00,1.00)","(BEB,10,1.00,1.25)","(BEB,10,1.00,1.50)","(BEB,10,1.00,2.00)","(BEB,10,1.00,3.00)",,,,,Seed,arrival rate,"(BEB,5,1.00,0.50)","(BEB,5,1.00,0.75)","(BEB,5,1.00,1.00)","(BEB,5,1.00,1.25)","(BEB,5,1.00,1.50)","(BEB,5,1.00,2.00)","(BEB,5,1.00,3.00)","(BEB,10,1.00,0.50)","(BEB,10,1.00,0.75)","(BEB,10,1.00,1.00)","(BEB,10,1.00,1.25)","(BEB,10,1.00,1.50)","(BEB,10,1.00,2.00)","(BEB,10,1.00,3.00)",,,yeetus
400137271,0.715081633,0.330667603,0.498611835,0.550371404,0.594449284,0.655361796,0.703979938,0.714538642,0.3605108,0.472200736,0.558610163,0.576485299,0.621658715,0.710038334,0.715653367,,,,,400137271,0.715081633,76341.17017,226598.6103,119006.643,75217.83427,4162.347127,2371.929338,6.182157494,320616.4634,196573.3333,148318.2866,36288.34829,16954.71424,15633.6249,7.119201809,,,3
400137271,0.786489796,0.38008891,0.439111683,0.504851967,0.685551063,0.665114576,0.777398901,0.787174625,0.385943632,0.513657722,0.535355456,0.680905282,0.740309302,0.761188413,0.786107278,,,,,400137271,0.786489796,462668.8476,246319.09,19038.44972,78610.94357,25102.33264,4468.322431,10.3561334,439375.1627,247731.1693,173361.1857,72600.10276,58036.30865,11097.81161,11.53422402,,,0
400137271,0.857897959,0.388473775,0.493626466,0.50534028,0.655799508,0.660834432,0.760234027,0.857494664,0.339734745,0.501778584,0.574961707,0.637353995,0.720423668,0.790004061,0.859093668,,,,,400137271,0.857897959,187451.2988,134970.7151,117529.9707,49473.49582,159223.1271,41585.69931,18.04445221,414934.9452,266204.2832,184572.1021,114824.9662,37619.65546,29239.20021,34.97560417,,,1
400137271,0.929306122,0.362423,0.482071181,0.622187701,0.821606865,0.628099183,0.896462382,0.927870169,0.408209106,0.47792806,0.648489634,0.694568057,0.738158816,0.891977466,0.929412882,,,,,400137271,0.929306122,375589.5479,356031.4555,145688.3635,72942.23798,11352.37228,22907.22193,55.44526681,468158.2628,180500.65,153946.2076,108676.565,71252.24292,30087.32663,244.4135376,,,2
400137271,1.000714286,0.409312897,0.57199152,0.594163954,0.662192346,0.771485637,0.859007204,0.994309288,0.43340767,0.513357456,0.672918743,0.727024836,0.796765533,0.832554347,0.966676818,,,,,400137271,1.000714286,329725.6667,270299.7521,141991.7831,222976.6047,54842.7654,57577.85449,2227.348111,420302.9044,257935.2025,123009.6084,113003.045,73606.20772,14484.34968,21195.4209,,,3
400137271,1.072122449,0.421001232,0.636759658,0.718001314,0.733511198,0.849697634,0.974107487,0.999906291,0.427641524,0.550780447,0.609241124,0.721438028,0.841436749,0.90299018,0.999947239,,,,,400137271,1.072122449,412201.2676,294589.9152,216699.1206,90282.05366,100454.3634,53652.29432,34999.68827,473165.9659,265934.146,80570.09189,90405.79865,85415.94289,26141.79862,33560.61941,,,0
400137271,1.143530612,0.380704151,0.609323234,0.657349509,0.862170943,0.89964886,0.982771431,0.998740867,0.405505907,0.530771895,0.676490416,0.83609666,0.811396493,0.986651406,0.999829139,,,,,400137271,1.143530612,275138.498,166002.1457,84528.91602,129390.7105,88856.71109,59102.6589,64231.84101,377020.8565,263733.4778,160324.8207,143228.0183,56451.4602,45911.26813,59714.26752,,,1
400137271,1.214938776,0.332862171,0.536837013,0.682221377,0.764093328,0.878744372,0.919397248,0.999990543,0.396274422,0.61475769,0.655191044,0.841784488,0.820224196,0.987277132,0.999983102,,,,,400137271,1.214938776,649842.8686,345987.2578,100980.5223,211120.1018,54989.07718,40043.81249,86747.56919,415317.7286,309042.2221,127610.5674,140534.9049,56628.74531,91743.2515,87438.25947,,,2
400137271,1.286346939,0.43564446,0.562096685,0.611574879,0.835659819,0.910665873,0.978668245,0.999990677,0.388367835,0.528456419,0.73113109,0.819783192,0.902681918,0.963670097,0.999997269,,,,,400137271,1.286346939,508102.5946,206176.0656,128814.9684,61365.46939,151532.1496,85452.6739,111642.9763,343703.8977,302050.2815,215493.7598,126207.8843,124067.1741,64452.00886,83906.89581,,,3
400137271,1.357755102,0.457069919,0.623694154,0.812468161,0.786417944,0.874561116,0.906792138,0.99998534,0.418838825,0.548710965,0.634468894,0.85953152,0.925967255,0.999339112,0.999997612,,,,,400137271,1.357755102,475165.4765,222713.0506,198890.57,152647.6034,46975.46797,46157.66386,132771.8799,292059.6185,293929.3284,160614.5052,139045.2522,82288.80969,104070.0743,130493.1447,,,0
400137271,1.429163265,0.398714364,0.619990763,0.72633129,0.810708998,0.95234905,0.999466437,0.999997272,0.403728816,0.622245859,0.659421926,0.814772672,0.918565399,0.998894313,0.999985951,,,,,400137271,1.429163265,412666.668,244940.0702,154047.6791,78207.91373,112479.3896,94105.26833,82242.22904,267792.7642,270604.2548,172628.4042,162059.1294,153376.8394,88295.60588,148582.6126,,,1
400137271,1.500571429,0.446384018,0.686854543,0.707997888,0.948754627,0.870984868,0.999399077,0.999979279,0.395696627,0.609253714,0.739627013,0.814977767,0.806795002,0.998487072,0.999996049,,,,,400137271,1.500571429,314880.7601,219199.9064,224956.0576,163436.7432,49743.30814,142189.3138,160844.2016,460092.3246,263845.6701,192416.237,133920.7937,143696.6493,94731.01325,138057.5851,,,2
400137271,1.571979592,0.478901945,0.596858238,0.662206872,0.787248007,0.933717242,0.999956305,0.999987495,0.459077166,0.569027415,0.709882933,0.844147944,0.909298364,0.999511293,0.999996371,,,,,400137271,1.571979592,297467.1113,254832.568,146702.5739,121864.6824,90473.62875,99231.44573,172480.3958,487565.0185,269554.8893,174278.9572,115361.3327,101642.0551,136086.7132,165237.1643,,,3
400137271,1.643387755,0.421380073,0.664494032,0.847503951,0.93942711,0.911469331,0.999658036,0.999999323,0.421889406,0.613803867,0.784396496,0.881152634,0.901866251,0.999587253,0.999996393,,,,,400137271,1.643387755,126949.9399,318346.0509,192554.7228,188531.0836,109136.4281,89870.98799,178809.5303,286209.7122,264311.7812,234683.9181,163104.0205,136800.2155,164041.4162,184628.6083,,,0
400137271,1.714795918,0.432918764,0.66368609,0.723223789,0.932879556,0.991070859,0.979117965,0.999999324,0.44346362,0.675188573,0.611551614,0.86753764,0.993963153,0.999571514,0.999994189,,,,,400137271,1.714795918,148489.928,238824.4902,246338.9834,142150.7875,173571.1075,101007.3295,181572.2454,277385.1987,323648.0701,131289.8692,136324.535,159424.4299,134026.9459,202077.1465,,,1
400137271,1.786204082,0.457544582,0.633170131,0.733323795,0.709040106,0.990666728,0.996436816,0.999993827,0.40892653,0.608424436,0.725731238,0.873055853,0.902758457,0.999834424,0.999987935,,,,,400137271,1.786204082,164095.7872,260464.4012,203347.6297,127854.7436,185701.0392,161136.2487,181124.7593,393739.892,243279.6607,201716.6078,159473.3479,176522.8148,168764.5835,172903.6788,,,2
400137271,1.857612245,0.478133925,0.696443059,0.840189809,0.92127122,0.995368002,0.999955029,0.999999323,0.440274373,0.592667322,0.837264128,0.940069224,0.985044309,0.999800903,0.999999323,,,,,400137271,1.857612245,410445.1991,198679.377,155255.2025,220568.0687,161454.3539,207838.4319,224609.5944,370067.1048,359138.6285,205619.372,167777.4316,169942.6005,177889.1983,197662.4016,,,3
400137271,1.929020408,0.460996074,0.625860524,0.782160042,0.979511478,0.976277855,0.999943966,0.999999324,0.420235168,0.579767939,0.792933476,0.82406423,0.98161622,0.999866363,0.999999322,,,,,400137271,1.929020408,506540.5555,178876.1981,139308.6795,208331.1511,210055.3637,180910.6051,189112.464,562516.4209,227785.8362,174404.4862,155552.9495,158190.3881,192632.1118,205610.4634,,,0
400137271,2.000428571,0.476009929,0.62924211,0.827453935,0.980795911,0.960547277,0.998176712,0.999994919,0.462131422,0.643503424,0.756107318,0.873682602,0.897809614,0.999792548,0.999967781,,,,,400137271,2.000428571,360978.7933,315581.0763,248877.7047,162062.4004,171218.7449,243585.808,228621.1472,392572.644,222845.384,209868.6318,204477.334,194058.3927,160663.8335,162492.083,,,1
400137271,2.071836735,0.417930067,0.694437151,0.799520261,0.992259013,0.973679315,0.99997622,0.999999324,0.457308802,0.582153171,0.74338825,0.899789131,0.946636043,0.999777852,0.999999324,,,,,400137271,2.071836735,296.8908687,195797.2281,105897.1622,191518.2395,233616.9598,174504.3313,190758.7854,466357.1599,274694.6681,196118.7794,111678.0634,190606.1392,188931.8375,224748.4981,,,2
400137271,2.143244898,0.486041657,0.686538526,0.778923624,0.985819401,0.999169779,0.999973748,0.999998398,0.460711652,0.634912006,0.720134411,0.901146393,0.999120937,0.995540823,0.999977843,,,,,400137271,2.143244898,254947.5999,301547.379,161243.7167,152441.8138,185168.0921,197184.3786,206299.3994,393694.1925,209733.7342,252141.6254,87478.92851,192800.3341,195685.2954,230503.8711,,,3
400137271,2.214653061,0.457072739,0.566700136,0.806601517,0.908317262,0.999692864,0.999955568,0.999997995,0.425270426,0.610334312,0.741614806,0.971829399,0.997521401,0.99995377,0.999999324,,,,,400137271,2.214653061,9933.014774,216435.4913,207571.6367,47660.77297,155909.7553,193070.1745,260645.1325,481042.0324,291043.7374,272448.8965,128681.7808,196525.6146,204864.9839,257982.9812,,,0
400137271,2.286061225,0.479641908,0.686845041,0.877723376,0.95111882,0.998299058,0.999988768,0.999988853,0.477370138,0.643762618,0.789755898,0.935168722,0.995156592,0.999876784,0.999985644,,,,,400137271,2.286061225,436067.6917,352819.9433,160593.1587,214265.2876,178696.0991,181966.7887,253869.67,459330.8716,206416.5868,232935.3801,157984.7845,164847.2936,181917.9021,211202.1365,,,1
400137271,2.357469388,0.477009493,0.541516068,0.705257538,0.9350369,0.998156246,0.999948517,0.999992684,0.461194761,0.595838247,0.766970062,0.915158219,0.995182362,0.999935722,0.999993165,,,,,400137271,2.357469388,4111.484347,41317.39293,330080.2939,153269.7891,211114.4444,202994.8719,232056.4949,353626.5085,259027.5466,202794.5584,183205.6988,192637.5972,180052.1797,247891.6359,,,2
400137271,2.428877551,0.485742981,0.728399389,0.903649026,0.972537518,0.996077546,0.999967656,0.999997184,0.453131808,0.591393675,0.868210117,0.887694445,0.999548258,0.999948501,0.999992186,,,,,400137271,2.428877551,108.2635146,282670.2553,168019.2284,213809.8618,71443.78147,212618.8657,283628.5609,381242.6681,284106.8934,233233.8581,187263.9588,209896.9563,218418.3979,255115.6942,,,3
400137271,2.500285714,0.490247763,0.702552963,0.776085375,0.933879686,0.975887583,0.999975722,0.999990015,0.450208658,0.686690189,0.875448474,0.961381081,0.999771908,0.999920882,0.999993754,,,,,400137271,2.500285714,21176.07828,316433.2356,204172.4737,116349.7436,36155.13578,247029.0823,232937.7187,337732.0704,278058.1831,208794.8538,104400.762,230062.8478,210191.3826,254844.1899,,,0
400137271,2.571693878,0.489462048,0.591367982,0.905738018,0.976056121,0.999125875,0.999980771,0.999993919,0.466023506,0.57377579,0.83574106,0.963395641,0.985486494,0.99994144,0.999997158,,,,,400137271,2.571693878,48456.68094,33892.44247,153583.5139,229135.0367,205245.9362,275672.0051,252964.264,518876.4754,326335.4059,192709.6463,217889.7979,144873.8609,229543.7098,258166.5581,,,1
400137271,2.643102041,0.490437439,0.675941442,0.891655291,0.797554684,0.99467768,0.999985693,0.999999323,0.462900491,0.628823901,0.7808766,0.950383921,0.989944845,0.999890889,0.999996705,,,,,400137271,2.643102041,73088.24027,118569.6998,273619.7041,242674.3027,224937.5137,246748.2402,276518.0572,346637.3917,344498.4373,236748.6202,168710.5911,187848.9386,214850.1984,256317.9338,,,2
400137271,2.714510204,0.490091285,0.693694145,0.956762206,0.822350473,0.999863672,0.999965742,0.999998011,0.462087984,0.620571338,0.893524646,0.932760181,0.999708081,0.999972719,0.999999323,,,,,400137271,2.714510204,98029.22716,230841.1101,220844.7979,238724.7997,227499.764,187889.4661,233724.7096,459467.6681,332658.9254,214607.1413,235767.1289,172931.6934,223327.2636,268370.4311,,,3
400137271,2.785918367,0.49025032,0.646246986,0.886213786,0.932400584,0.999920629,0.999961171,0.999996527,0.47132086,0.599238675,0.887636651,0.912060662,0.999763636,0.999945807,0.999999324,,,,,400137271,2.785918367,123614.3611,44433.88308,115486.6488,127205.624,233550.1574,265289.4288,301781.8746,511592.2661,219353.499,163450.9177,107671.8718,176622.2493,246136.3908,287566.0387,,,0
400137271,2.857326531,0.490040961,0.678007996,0.885874481,0.880499627,0.996416353,0.999993194,0.999998605,0.461175319,0.69211872,0.797801719,0.984269299,0.999799177,0.999936908,0.999999323,,,,,400137271,2.857326531,145450.4222,343295.6102,269806.1711,131577.08,235522.2291,219157.6284,269061.3105,356414.4924,308676.4748,158413.2719,122821.8805,253061.6395,194053.9129,288979.2345,,,1
400137271,2.928734694,0.490543615,0.701714245,0.83676043,0.986249622,0.999233117,0.999977927,0.999996134,0.468600737,0.661630142,0.814559668,0.94659966,0.999777173,0.99995687,0.99999364,,,,,400137271,2.928734694,167263.352,145872.0009,190124.3316,172863.4299,225608.7579,274813.3034,306264.6891,527539.7001,318736.9033,152896.3222,214845.8203,192412.533,268560.6623,292302.6792,,,2
400137271,3.000142857,0.49021347,0.637609548,0.848128039,0.975755531,0.908476176,0.999955738,0.999999322,0.459029737,0.663348505,0.76566329,0.958873771,0.997372674,0.999959519,0.999999323,,,,,400137271,3.000142857,188156.2133,13889.96349,199904.1964,248739.9365,229886.8441,246160.2145,292941.8015,343108.0889,354440.8088,230396.7154,170493.7524,236454.5278,235149.8665,293542.7251,,,3
400137271,3.07155102,0.490599888,0.705132343,0.873002696,0.965200248,0.999975407,0.999990259,0.999996149,0.462838318,0.675321783,0.866198736,0.97644928,0.99968557,0.999871999,0.999994093,,,,,400137271,3.07155102,207610.2227,304777.1596,260855.1942,262915.363,92657.66223,233375.5752,283328.136,407541.3034,343850.3692,239070.504,189273.6581,168723.1986,243098.3142,261893.1531,,,0
400137271,3.142959184,0.490002001,0.653994757,0.925259276,0.985012395,0.999741064,0.999981924,0.999990731,0.467946485,0.662165044,0.862517772,0.947856773,0.999756849,0.999952242,0.999994104,,,,,400137271,3.142959184,225596.063,6582.993175,267954.9472,232659.1167,279860.4969,242849.3257,274501.6154,244578.4074,232730.9564,161552.5745,166264.7663,176221.4123,223094.7971,317022.0675,,,1
400137271,3.214367347,0.490174172,0.667964572,0.92610192,0.996095222,0.99405756,0.999953876,0.999997398,0.458740096,0.688101698,0.891615822,0.965905947,0.99987678,0.999969167,0.999993432,,,,,400137271,3.214367347,241384.3265,311645.0365,153902.245,259711.7827,149512.624,255502.9884,310843.3156,367122.8188,316422.0746,195135.8378,113655.7132,238100.5299,255286.8017,305689.8773,,,2
400137271,3.28577551,0.489486118,0.715316064,0.871927048,0.898404109,0.999950634,0.999990243,0.999998441,0.483160491,0.706637748,0.916974343,0.999121468,0.999819286,0.999933404,0.999995522,,,,,400137271,3.28577551,259588.7733,44879.83174,207777.545,261500.0165,222251.1875,206584.0449,293619.7339,512645.2768,354456.9953,246145.18,152637.788,170805.8803,229912.4432,290472.7756,,,3
